,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2003,Seneca Wallace,QB,22,16,Iowa State,5-11,196,4.56,38.0,,127.0,6.98,4.14,Seattle Seahawks / 4th / 110th pick / 2003
1,2,2003,Chris Simms,QB,22,8,Texas,6-4,220,4.84,31.0,,103.0,7.38,4.21,Tampa Bay Buccaneers / 3rd / 97th pick / 2003
2,3,2003,Tony Romo,QB,22,116,East. Illinois,6-2,230,5.01,30.0,,105.0,7.11,4.2,
3,4,2003,Dave Ragone,QB,23,1,Louisville,6-4,249,4.99,30.5,,101.0,7.42,4.36,Houston Texans / 3rd / 88th pick / 2003
4,5,2003,Carson Palmer,QB,23,142,USC,6-5,232,4.65,,,,,,Cincinnati Bengals / 1st / 1st pick / 2003
5,6,2003,Byron Leftwich,QB,23,36,Marshall,6-5,241,4.85,,,,,,Jacksonville Jaguars / 1st / 7th pick / 2003
6,7,2003,Kliff Kingsbury,QB,23,0,Texas Tech,6-3,213,4.77,30.0,,101.0,6.92,4.1,New England Patriots / 6th / 201st pick / 2003
7,8,2003,Rex Grossman,QB,22,25,Florida,6-1,217,5.06,,,,,,Chicago Bears / 1st / 22nd pick / 2003
8,9,2003,Ken Dorsey,QB,21,1,Miami (FL),6-5,208,4.7,,,,,,San Francisco 49ers / 7th / 241st pick / 2003
9,10,2003,Kyle Boller,QB,21,18,California,6-3,234,4.61,35.5,,117.0,7.2,4.02,Baltimore Ravens / 1st / 19th pick / 2003
