,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2004,Kevin Youngblood,WR,23,0,Clemson,6-4,213,4.64,34.0,,,,,
1,2,2004,Rashaun Woods,WR,23,1,Oklahoma State,6-2,202,4.47,39.0,,125.0,6.93,3.97,San Francisco 49ers / 1st / 31st pick / 2004
2,3,2004,George Wilson,WR,22,29,Arkansas,6-0,213,4.63,35.0,,120.0,7.07,3.98,
3,4,2004,Roy Williams,WR,22,49,Texas,6-2,212,4.48,,,,,,Detroit Lions / 1st / 7th pick / 2004
4,5,2004,Reggie Williams,WR,20,25,Washington,6-4,229,4.56,,,,,,Jacksonville Jaguars / 1st / 9th pick / 2004
5,6,2004,Ernest Wilford,WR,25,23,Virginia Tech,6-4,226,4.79,40.5,,130.0,,4.17,Jacksonville Jaguars / 4th / 120th pick / 2004
6,7,2004,Darius Watts,WR,22,4,Marshall,6-1,188,4.5,,,,,,Denver Broncos / 2nd / 54th pick / 2004
7,8,2004,Andrae Thurman,WR,23,1,Arizona,5-11,192,4.54,34.5,,121.0,7.31,4.3,
8,9,2004,Sloan Thomas,WR,22,0,Texas,6-1,203,4.5,,,,,,Houston Texans / 7th / 211th pick / 2004
9,10,2004,Jamaar Taylor,WR,23,1,Texas A&M,6-1,197,4.46,,,,,,New York Giants / 6th / 168th pick / 2004
10,11,2004,Kendrick Starling,WR,24,0,San Jose State,6-1,193,4.49,31.5,,119.0,6.88,3.87,
11,12,2004,John Standeford,WR,21,2,Purdue,6-3,197,4.6,32.5,,113.0,6.9,4.08,
12,13,2004,Jonathan Smith,WR,22,2,Georgia Tech,5-10,194,4.78,32.5,,114.0,,4.35,Buffalo Bills / 7th / 214th pick / 2004
13,14,2004,P.K. Sam,WR,20,0,Florida State,6-3,210,4.54,34.5,,,7.04,,New England Patriots / 5th / 164th pick / 2004
14,15,2004,Samie Parker,WR,22,14,Oregon,5-10,179,4.39,36.0,,,,,Kansas City Chiefs / 4th / 105th pick / 2004
15,16,2004,Johnnie Morant,WR,22,0,Syracuse,6-4,229,4.51,41.0,,130.0,7.34,4.22,Oakland Raiders / 5th / 134th pick / 2004
16,17,2004,Clarence Moore,WR,21,2,Northern Arizona,6-6,211,4.55,34.0,,122.0,6.84,4.16,Baltimore Ravens / 6th / 199th pick / 2004
17,18,2004,Maurice Mann,WR,21,0,Nevada,6-1,191,4.57,34.0,,118.0,,,Cincinnati Bengals / 5th / 149th pick / 2004
18,19,2004,Triandos Luke,WR,22,0,Alabama,5-11,199,4.51,38.0,,124.0,7.06,4.17,Denver Broncos / 6th / 171st pick / 2004
19,20,2004,Ryan Krause,WR,22,1,Nebraska-Omaha,6-2,244,4.6,33.5,18.0,119.0,6.78,4.16,San Diego Chargers / 6th / 169th pick / 2004
20,21,2004,Kelvin Kight,WR,21,0,Florida,6-0,213,4.56,34.0,,109.0,7.18,4.24,
21,22,2004,Michael Jenkins,WR,21,46,Ohio State,6-4,218,4.4,,,,,,Atlanta Falcons / 1st / 29th pick / 2004
22,23,2004,Justin Jenkins,WR,23,0,Mississippi State,5-11,213,4.6,35.0,,123.0,7.47,4.16,
23,24,2004,Devery Henderson,WR,21,41,LSU,5-11,198,4.41,,,,,,New Orleans Saints / 2nd / 50th pick / 2004
24,25,2004,Derrick Hamilton,WR,22,0,Clemson,6-3,196,4.54,,,,,,San Francisco 49ers / 3rd / 77th pick / 2004
25,26,2004,D.J. Hackett,WR,22,15,Colorado,6-2,199,4.53,41.0,,131.0,6.79,4.08,Seattle Seahawks / 5th / 157th pick / 2004
26,27,2004,Carlos Francis,WR,23,0,Texas Tech,5-9,198,4.33,38.5,,114.0,6.97,4.06,Oakland Raiders / 4th / 99th pick / 2004
27,28,2004,Larry Fitzgerald,WR,20,133,Pittsburgh,6-3,225,4.48,,,,,,Arizona Cardinals / 1st / 3rd pick / 2004
28,29,2004,Lee Evans,WR,22,56,Wisconsin,5-11,197,4.39,34.5,,120.0,,,Buffalo Bills / 1st / 13th pick / 2004
29,30,2004,Devard Darling,WR,21,4,Washington State,6-1,213,4.52,37.0,,129.0,,,Baltimore Ravens / 3rd / 82nd pick / 2004
30,31,2004,Jerricho Cotchery,WR,21,63,North Carolina State,6-0,212,4.54,36.0,,121.0,6.93,3.91,New York Jets / 4th / 108th pick / 2004
31,32,2004,Terrance Copper,WR,21,10,East Carolina,6-0,208,4.53,35.5,,116.0,7.34,4.31,
32,33,2004,Keary Colbert,WR,21,15,USC,6-1,207,4.6,30.0,,,,,Carolina Panthers / 2nd / 62nd pick / 2004
33,34,2004,Michael Clayton,WR,21,24,LSU,6-3,209,4.67,32.5,,116.0,6.77,4.09,Tampa Bay Buccaneers / 1st / 15th pick / 2004
34,35,2004,Drew Carter,WR,22,8,Ohio State,6-4,204,4.36,,,,,,Carolina Panthers / 5th / 163rd pick / 2004
35,36,2004,Bernard Berrian,WR,23,36,Fresno State,6-1,183,4.58,38.0,,128.0,7.34,4.18,Chicago Bears / 3rd / 78th pick / 2004
