,Rk,Year,Player,Pos,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
0,1,2012,DeAngelo Peterson,TE,23,0,LSU,6-3,243,4.69,36.0,18.0,121.0,7.19,,
1,2,2012,David Paulson,TE,23,1,Oregon,6-3,246,4.79,32.0,21.0,110.0,7.18,4.4,Pittsburgh Steelers / 7th / 240th pick / 2012
2,3,2012,Cory Harkey,TE,21,1,UCLA,6-4,260,5.06,26.5,13.0,109.0,7.4,4.69,
3,4,2012,James Hanna,TE,22,4,Oklahoma,6-4,252,4.43,36.0,24.0,122.0,6.76,4.11,Dallas Cowboys / 6th / 186th pick / 2012
4,5,2012,Ladarius Green,TE,21,12,Louisiana-Lafayette,6-6,238,4.45,34.5,16.0,124.0,7.12,4.47,San Diego Chargers / 4th / 110th pick / 2012
5,6,2012,Coby Fleener,TE,23,28,Stanford,6-6,247,4.51,,27.0,,,,Indianapolis Colts / 2nd / 34th pick / 2012
6,7,2012,Rhett Ellison,TE,23,10,USC,6-5,251,4.78,31.5,,109.0,,,Minnesota Vikings / 4th / 128th pick / 2012
7,8,2012,Michael Egnew,TE,22,0,Missouri,6-5,252,4.52,36.0,21.0,131.0,7.03,4.32,Miami Dolphins / 3rd / 78th pick / 2012
8,9,2012,Orson Charles,TE,21,2,Georgia,6-2,251,4.73,,35.0,,,,Cincinnati Bengals / 4th / 116th pick / 2012
9,10,2012,Dwayne Allen,TE,22,13,Clemson,6-3,255,4.85,32.0,27.0,110.0,7.12,4.37,Indianapolis Colts / 3rd / 64th pick / 2012
