,Tm,PointsAllowed,TotalYardsAllowed,OffensivePlaysAllowed,YardsPerPlay,TO,ForcedFumbles,TotalFirstDownsAllowed,Cmp,PassingAttAllowed,PassingYardsAllowed,PassingTDAllowed,Int,NetYardsAllowedPerPass,PassingFirstDownsAllowed,RushingAttAllowed,RushingYdsAllowed,RushingTDAllowed,YardsPerRushAllowed,RushingFirstDownsAllowed,PenaltiesCommitted,PenaltyYardsAllowed,FirstDownsViaPenalty,PercentageOfDrivesEndingInOffensiveScores,PercentDrivesEndingInTO,PassingFantasyPointsAllowed,PPRReceivingFantasyPointsAllowed,HalfPPRReceivingFantasyPointsAllowed,StandardReceivingFantasyPointsAllowed,RushingFantasyPointsAllowed,PassingDefRank,PPRReceivingDefRank,HalfPPRReceivingDefRank,StandardReceivingDefRank,RushingDefRank,PPRFantasyPointsAllowed,PPRDefRank,HalfPPRFantasyPointsAllowed,HalfPPRDefRank,StandardFantasyPointsAllowed,StandardDefRank
0,Green Bay Packers,210.0,4156.0,981.0,4.2,39.0,13.0,248.0,283.0,544.0,2740.0,12.0,26.0,4.7,151.0,400.0,1416.0,7.0,3.5,74.0,107.0,797.0,23.0,,,105.6,629.0,487.5,346.0,157.6,1.0,2.0,2.0,2.0,5.0,892.2,1.0,750.7,1.0,609.2,1.0
1,Carolina Panthers,218.0,4776.0,990.0,4.8,38.0,16.0,251.0,307.0,556.0,3214.0,17.0,22.0,5.2,167.0,374.0,1562.0,6.0,4.2,69.0,133.0,1155.0,15.0,,,152.56,730.4,576.9,423.4,160.2,8.0,10.0,9.0,11.0,6.0,1043.1599999999999,6.0,889.66,5.0,736.16,5.0
2,Dallas Cowboys,250.0,4382.0,958.0,4.6,33.0,14.0,260.0,271.0,484.0,2806.0,10.0,19.0,5.4,144.0,437.0,1576.0,10.0,3.6,89.0,94.0,717.0,27.0,,,114.24,611.6,476.1,340.6,189.6,2.0,1.0,1.0,1.0,8.0,915.44,2.0,779.94,2.0,644.44,2.0
3,San Francisco 49ers,257.0,4661.0,1021.0,4.6,34.0,14.0,269.0,287.0,558.0,3164.0,21.0,20.0,5.2,164.0,418.0,1497.0,4.0,3.6,76.0,97.0,819.0,29.0,,,170.56,729.4,585.9,442.4,145.7,12.0,9.0,13.0,13.0,3.0,1045.6599999999999,7.0,902.16,7.0,758.66,7.0
4,Pittsburgh Steelers,257.0,4362.0,1009.0,4.3,40.0,17.0,286.0,322.0,547.0,2947.0,17.0,23.0,4.9,174.0,411.0,1415.0,7.0,3.4,80.0,97.0,746.0,32.0,,,139.88,718.7,557.7,396.7,149.5,4.0,8.0,7.0,5.0,4.0,1008.08,3.0,847.08,3.0,686.0799999999999,3.0
5,Buffalo Bills,266.0,4737.0,1105.0,4.3,28.0,14.0,283.0,292.0,562.0,3068.0,11.0,14.0,5.0,168.0,495.0,1669.0,12.0,3.4,94.0,86.0,607.0,21.0,,,138.72,664.8,518.8,372.8,210.9,3.0,3.0,3.0,3.0,13.0,1014.42,4.0,868.42,4.0,722.4200000000001,4.0
6,Denver Broncos,275.0,4470.0,951.0,4.7,32.0,9.0,261.0,302.0,566.0,3139.0,22.0,23.0,5.2,165.0,345.0,1331.0,5.0,3.9,67.0,119.0,834.0,29.0,,,167.56,747.9,596.9,445.9,145.1,11.0,14.0,14.0,14.0,2.0,1060.56,8.0,909.56,8.0,758.56,6.0
7,Tampa Bay Buccaneers,293.0,4814.0,976.0,4.9,29.0,12.0,296.0,311.0,503.0,2925.0,17.0,17.0,5.4,156.0,438.0,1889.0,13.0,4.3,114.0,101.0,810.0,26.0,,,151.0,705.5,550.0,394.5,242.89999999999998,7.0,6.0,6.0,4.0,20.0,1099.4,10.0,943.9,10.0,788.4,9.0
8,Oakland Raiders,293.0,4697.0,1010.0,4.7,26.0,9.0,292.0,284.0,513.0,3021.0,22.0,17.0,5.5,162.0,463.0,1676.0,7.0,3.6,97.0,113.0,965.0,33.0,,,174.84,718.1,576.1,434.1,191.6,15.0,7.0,8.0,12.0,9.0,1084.54,9.0,942.54,9.0,800.54,10.0
9,New York Giants,297.0,5047.0,1050.0,4.8,35.0,13.0,285.0,317.0,533.0,3299.0,15.0,22.0,5.9,174.0,487.0,1748.0,14.0,3.6,98.0,100.0,781.0,13.0,,,147.96,736.9,578.4,419.9,232.8,6.0,12.0,11.0,9.0,18.0,1117.6599999999999,12.0,959.16,11.0,800.66,11.0
10,Kansas City Chiefs,300.0,5204.0,1008.0,5.2,27.0,10.0,296.0,289.0,536.0,3538.0,19.0,17.0,6.2,184.0,441.0,1666.0,11.0,3.8,84.0,103.0,876.0,28.0,,,183.52,756.8,612.3,467.8,212.6,18.0,15.0,16.0,17.0,15.0,1152.92,15.0,1008.42,16.0,863.9200000000001,16.0
11,Chicago Bears,305.0,4884.0,981.0,5.0,28.0,11.0,295.0,314.0,524.0,3267.0,21.0,17.0,5.9,183.0,427.0,1617.0,13.0,3.8,87.0,113.0,849.0,25.0,,,180.68,766.7,609.7,452.7,217.7,17.0,17.0,15.0,15.0,16.0,1165.08,16.0,1008.08,15.0,851.0799999999999,15.0
