,PLAYER,POS,AVG
0,Christian McCaffrey,RB,1.0
1,Saquon Barkley,RB,2.0
2,Ezekiel Elliott,RB,3.5
3,Michael Thomas,WR,4.0
4,Dalvin Cook,RB,5.0
5,Alvin Kamara,RB,5.5
6,Derrick Henry,RB,7.5
7,Davante Adams,WR,9.5
8,Joe Mixon,RB,10.0
10,Austin Ekeler,RB,12.0
9,DeAndre Hopkins,WR,12.0
11,Tyreek Hill,WR,14.0
12,Miles Sanders,RB,14.5
13,Julio Jones,WR,15.5
14,Kenyan Drake,RB,15.5
15,Josh Jacobs,RB,16.5
16,Nick Chubb,RB,16.5
17,Travis Kelce,TE,17.0
18,Chris Godwin,WR,18.0
19,Aaron Jones,RB,19.5
20,Clyde Edwards-Helaire,RB,20.5
21,George Kittle,TE,20.5
22,Lamar Jackson,QB,22.5
23,Patrick Mahomes,QB,24.5
24,Kenny Golladay,WR,24.5
25,Mike Evans,WR,26.5
26,Odell Beckham Jr.,WR,28.5
27,Allen Robinson,WR,29.0
28,Todd Gurley,RB,30.5
29,D.J. Moore,WR,30.5
30,Chris Carson,RB,33.0
31,JuJu Smith-Schuster,WR,34.0
32,Amari Cooper,WR,35.0
33,Cooper Kupp,WR,35.0
34,Le'Veon Bell,RB,35.5
35,Adam Thielen,WR,37.0
36,Melvin Gordon,RB,38.0
37,David Johnson,RB,38.5
38,James Conner,RB,39.0
39,Zach Ertz,TE,39.0
40,A.J. Brown,WR,40.5
41,Jonathan Taylor,RB,42.5
42,Calvin Ridley,WR,43.5
43,,RB,44.0
44,Courtland Sutton,WR,44.5
45,Robert Woods,WR,46.0
46,Mark Andrews,TE,47.0
47,Keenan Allen,WR,47.5
48,Devin Singletary,RB,47.5
49,D.J. Chark,WR,52.5
50,DeVante Parker,WR,53.5
51,D.K. Metcalf,WR,53.5
52,Raheem Mostert,RB,56.0
53,Tyler Lockett,WR,56.0
54,Mark Ingram II,RB,56.0
55,David Montgomery,RB,57.5
