RK,TIERS,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV
1,1,Christian McCaffrey,CAR,RB1,1,4,1.1,0.3
2,1,Dalvin Cook,MIN,RB2,1,8,2.3,0.8
3,1,Alvin Kamara,NO,RB3,2,14,3.7,1.5
4,1,Derrick Henry,TEN,RB4,2,13,4.5,2.1
5,1,Ezekiel Elliott,DAL,RB5,3,19,6.3,3
6,1,Aaron Jones,GB,RB6,3,19,7.7,3.3
7,1,Davante Adams,GB,WR1,4,15,8,2.1
8,2,Tyreek Hill,KC,WR2,5,21,10.5,2.5
9,2,Saquon Barkley,NYG,RB7,2,27,10.8,4.9
10,2,Nick Chubb,CLE,RB8,4,27,12,5.4
11,2,Jonathan Taylor,IND,RB9,4,33,12,5.7
12,2,Stefon Diggs,BUF,WR3,6,19,12.1,2.6
13,2,Austin Ekeler,LAC,RB10,4,31,12.2,5
14,2,Travis Kelce,KC,TE1,5,24,13.6,4.3
15,2,Calvin Ridley,ATL,WR4,7,27,14.4,3.4
16,2,DeAndre Hopkins,ARI,WR5,6,24,15.5,3.1
17,2,Antonio Gibson,WAS,RB11,5,44,17.3,5.3
18,2,Najee Harris,PIT,RB12,4,51,19.2,6.2
19,3,D.K. Metcalf,SEA,WR6,9,32,20.1,4.4
20,3,Justin Jefferson,MIN,WR7,11,33,21.2,4
21,3,Joe Mixon,CIN,RB13,8,47,21.5,7
22,3,A.J. Brown,TEN,WR8,9,39,21.8,4.7
23,3,Darren Waller,LV,TE2,16,46,25.1,7.1
24,3,Keenan Allen,LAC,WR9,15,47,25.8,5.2
25,3,Clyde Edwards-Helaire,KC,RB14,10,50,25.9,6.4
26,3,Allen Robinson II,CHI,WR10,15,41,27.4,4
27,3,Terry McLaurin,WAS,WR11,19,45,28.6,4
28,3,Patrick Mahomes II,KC,QB1,18,62,30.4,11.9
29,3,Chris Carson,SEA,RB15,18,51,31.3,6.3
30,3,CeeDee Lamb,DAL,WR12,15,72,31.5,7.1
31,3,David Montgomery,CHI,RB16,18,74,32.4,8.7
32,3,D'Andre Swift,DET,RB17,9,64,34.5,9.7
33,4,James Robinson,JAC,RB18,17,84,36.3,10.7
34,4,George Kittle,SF,TE3,20,55,36.7,9.9
35,4,Mike Evans,TB,WR13,23,57,37.1,6.5
36,4,Robert Woods,LAR,WR14,24,64,37.3,7.2
37,4,Chris Godwin,TB,WR15,23,65,37.5,6.9
38,4,Amari Cooper,DAL,WR16,26,63,37.6,6.4
39,4,Josh Allen,BUF,QB2,19,69,42,11.3
40,4,Miles Sanders,PHI,RB19,21,74,42.1,10.1
41,4,D.J. Moore,CAR,WR17,28,84,43.8,10.1
42,4,Julio Jones,TEN,WR18,28,88,44.2,9.8
43,4,Cooper Kupp,LAR,WR19,27,82,44.3,8.2
