RK,TIERS,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV
1,1,Christian McCaffrey,CAR,RB1,1,3,1.1,0.3
2,1,Dalvin Cook,MIN,RB2,1,7,2.6,0.8
3,1,Alvin Kamara,NO,RB3,2,10,3,1.4
4,1,Davante Adams,GB,WR1,5,12,6.1,2.1
5,1,Ezekiel Elliott,DAL,RB4,2,22,7.1,4
6,1,Derrick Henry,TEN,RB5,2,27,7.9,6
7,1,Austin Ekeler,LAC,RB6,3,28,8,3.9
8,1,Aaron Jones,GB,RB7,3,23,8.5,4.2
9,2,Tyreek Hill,KC,WR2,8,25,10.3,2.5
10,2,Stefon Diggs,BUF,WR3,5,17,10.9,2.2
11,2,Saquon Barkley,NYG,RB8,2,34,12.1,6.7
12,2,DeAndre Hopkins,ARI,WR4,5,24,12.6,2.6
13,2,Calvin Ridley,ATL,WR5,5,25,13.4,2.9
14,2,Travis Kelce,KC,TE1,5,18,16.2,2.4
15,2,Jonathan Taylor,IND,RB9,4,40,17.6,8.3
16,3,Justin Jefferson,MIN,WR6,11,33,18.9,4.9
17,3,Nick Chubb,CLE,RB10,4,44,19.4,8
18,3,Antonio Gibson,WAS,RB11,3,42,19.6,6.4
19,3,D.K. Metcalf,SEA,WR7,12,36,20.1,5.6
20,3,Darren Waller,LV,TE2,16,30,20.1,3.5
21,3,A.J. Brown,TEN,WR8,5,39,21.5,6.3
22,3,Keenan Allen,LAC,WR9,11,46,21.8,5.9
23,3,Joe Mixon,CIN,RB12,8,57,23.8,8.3
24,3,Allen Robinson II,CHI,WR10,13,36,24.7,4.7
25,3,Najee Harris,PIT,RB13,4,65,22.6,7.9
26,3,Patrick Mahomes II,KC,QB1,19,56,26.7,11.5
27,3,George Kittle,SF,TE3,18,53,27.3,8.1
28,3,Terry McLaurin,WAS,WR11,16,41,27.8,4.3
29,3,Clyde Edwards-Helaire,KC,RB14,8,57,28.4,8.5
30,3,CeeDee Lamb,DAL,WR12,12,65,31.3,7.3
31,3,D'Andre Swift,DET,RB15,8,89,33.9,11.6
32,3,Robert Woods,LAR,WR13,20,50,34,5.6
33,4,Amari Cooper,DAL,WR14,24,50,35.1,5
34,4,Chris Carson,SEA,RB16,21,59,37,7
35,4,Chris Godwin,TB,WR15,24,64,37,6.3
36,4,David Montgomery,CHI,RB17,20,71,37.6,9.1
37,4,Mike Evans,TB,WR16,24,67,39.5,6.8
38,4,Cooper Kupp,LAR,WR17,25,84,39.8,8
39,4,James Robinson,JAC,RB18,10,119,40.8,13.1
40,4,Josh Allen,BUF,QB2,19,61,41,10.3
41,4,D.J. Moore,CAR,WR18,30,86,41.4,8.8
42,4,Tyler Lockett,SEA,WR19,28,72,41.8,8
43,4,Diontae Johnson,PIT,WR20,25,75,41.8,8.9
44,4,Julio Jones,TEN,WR21,25,116,43.4,11.2
45,4,Miles Sanders,PHI,RB19,27,76,47.2,10.1
46,4,Kyler Murray,ARI,QB3,19,70,51,10.5
47,4,Josh Jacobs,LV,RB20,34,80,51.9,8.3
48,4,Tee Higgins,CIN,WR22,28,86,52,11.7
49,4,Adam Thielen,MIN,WR23,33,88,52.3,10.9
50,4,Mark Andrews,BAL,TE4,26,92,53.8,9
51,5,T.J. Hockenson,DET,TE5,26,94,54.1,10.8
52,5,Mike Davis,ATL,RB21,26,85,54.1,10.5
53,5,Lamar Jackson,BAL,QB4,19,93,55.5,10.9
54,5,Kyle Pitts,ATL,TE6,26,94,55.6,13.5
55,5,Brandon Aiyuk,SF,WR24,36,157,57.1,13.8
56,5,Darrell Henderson,LAR,RB22,31,132,58.6,15.8
57,5,Myles Gaskin,MIA,RB23,27,115,59.8,14.9
58,5,Kareem Hunt,CLE,RB24,34,89,60.3,10.6
59,5,Gus Edwards,BAL,RB25,28,149,60.9,20.8
60,5,Dak Prescott,DAL,QB5,38,95,62.3,9.9
61,5,Chase Claypool,PIT,WR25,37,148,65.9,14.7
62,5,Jerry Jeudy,DEN,WR26,33,109,66,15.6
63,5,Odell Beckham Jr.,CLE,WR27,41,143,67,15.2
64,5,JuJu Smith-Schuster,PIT,WR28,41,140,67.5,16.8
65,5,Chase Edmonds,ARI,RB26,32,115,68.3,14.1
66,5,Russell Wilson,SEA,QB6,38,103,68.9,8.8
67,5,Damien Harris,NE,RB27,42,130,69.7,16.3
68,5,Tyler Boyd,CIN,WR29,45,111,70.7,13.3
69,5,Kenny Golladay,NYG,WR30,36,129,71.8,16.5
70,5,Aaron Rodgers,GB,QB7,54,105,72.1,10.3
71,5,Robby Anderson,CAR,WR31,33,156,68.4,16.5
72,5,Courtland Sutton,DEN,WR32,45,125,74.2,13.3
73,5,Ja'Marr Chase,CIN,WR33,39,148,70.8,15.4
74,5,Javonte Williams,DEN,RB28,20,130,72,17.3
75,5,Justin Herbert,LAC,QB8,52,95,76.4,9.1
76,6,Raheem Mostert,SF,RB29,44,134,82.2,17.4
77,6,Deebo Samuel,SF,WR34,38,160,82.3,18.5
78,6,Brandin Cooks,HOU,WR35,45,183,82.5,18.8
79,6,Noah Fant,DEN,TE7,53,132,84,15.6
80,6,Logan Thomas,WAS,TE8,46,139,85,20.5
81,6,Corey Davis,NYJ,WR36,50,183,85.5,21.8
82,6,Tom Brady,TB,QB9,54,114,88.1,11.6
83,6,Laviska Shenault Jr.,JAC,WR37,49,293,89.7,25.8
84,6,Melvin Gordon III,DEN,RB30,47,182,90,18.3
85,6,Ryan Tannehill,TEN,QB10,53,115,90.2,9.9
86,6,Will Fuller V,MIA,WR38,50,203,93.2,20.6
87,6,Antonio Brown,TB,WR39,37,196,90.3,23.4
88,6,Trey Sermon,SF,RB31,42,310,90.6,29.2
89,6,Jalen Hurts,PHI,QB11,56,154,94.5,13.6
90,6,D.J. Chark Jr.,JAC,WR40,45,309,95,29.7
91,6,DeVonta Smith,PHI,WR41,33,169,92.3,21.3
