RK,TIERS,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV
1,1,Christian McCaffrey,CAR,RB1,1,4,1.1,0.5
2,1,Dalvin Cook,MIN,RB2,1,5,2.4,0.7
3,1,Derrick Henry,TEN,RB3,1,9,3.1,1.3
4,1,Alvin Kamara,NO,RB4,2,20,5.1,2.8
5,1,Ezekiel Elliott,DAL,RB5,2,22,6.1,2.8
6,1,Aaron Jones,GB,RB6,3,33,7.2,3.2
7,1,Nick Chubb,CLE,RB7,3,28,7.5,3.8
8,2,Jonathan Taylor,IND,RB8,3,42,8.8,5
9,2,Saquon Barkley,NYG,RB9,2,31,10,5.3
10,2,Tyreek Hill,KC,WR1,7,23,10.9,2.1
11,2,Davante Adams,GB,WR2,5,21,11.1,1.9
12,2,Stefon Diggs,BUF,WR3,10,24,14.4,3.2
13,2,Antonio Gibson,WAS,RB10,5,40,15.2,6.2
14,2,Calvin Ridley,ATL,WR4,10,29,15.5,3.7
15,2,Travis Kelce,KC,TE1,7,18,16.4,1.8
16,2,D.K. Metcalf,SEA,WR5,11,30,19.1,4.3
17,3,DeAndre Hopkins,ARI,WR6,10,28,19.8,3.8
18,3,Joe Mixon,CIN,RB11,7,63,20.5,9.1
19,3,Najee Harris,PIT,RB12,3,115,16.6,11.9
20,3,Darren Waller,LV,TE2,16,46,20.8,5
21,3,Austin Ekeler,LAC,RB13,5,57,21,7.2
22,3,A.J. Brown,TEN,WR7,10,33,21.4,4.5
23,3,Justin Jefferson,MIN,WR8,13,33,21.8,4.1
24,3,Patrick Mahomes II,KC,QB1,17,56,26.4,11.5
25,3,George Kittle,SF,TE3,18,46,27.8,8.6
26,3,Clyde Edwards-Helaire,KC,RB14,8,57,28.8,7.9
27,3,Terry McLaurin,WAS,WR9,23,50,29.8,4.8
28,3,Chris Carson,SEA,RB15,9,51,30.8,7.2
29,3,Mike Evans,TB,WR10,22,50,31,5.6
30,3,Allen Robinson II,CHI,WR11,23,46,31.9,5.1
31,3,CeeDee Lamb,DAL,WR12,15,58,32.2,7.1
32,3,David Montgomery,CHI,RB16,12,74,32.6,9.8
33,3,Keenan Allen,LAC,WR13,18,62,33.9,7.5
34,4,Chris Godwin,TB,WR14,24,64,35.6,6.6
35,4,Amari Cooper,DAL,WR15,26,55,37.3,5.3
36,4,Robert Woods,LAR,WR16,28,58,39.6,5.8
37,4,Julio Jones,TEN,WR17,23,82,40.4,9.1
38,4,D.J. Moore,CAR,WR18,25,64,40.9,8.1
39,4,Josh Allen,BUF,QB2,19,61,41,10.5
40,4,James Robinson,JAC,RB17,14,115,42.2,13.5
41,4,D'Andre Swift,DET,RB18,14,100,42.4,12.2
42,4,Josh Jacobs,LV,RB19,12,76,43.2,11.2
43,4,Miles Sanders,PHI,RB20,14,77,43.5,12.8
44,4,Adam Thielen,MIN,WR19,27,74,46,8.8
45,4,Cooper Kupp,LAR,WR20,32,85,47.4,8.8
46,4,Tyler Lockett,SEA,WR21,30,92,47.9,9.7
47,4,Gus Edwards,BAL,RB21,14,193,49.7,27.1
48,4,Kyler Murray,ARI,QB3,19,70,51,10.6
49,4,Brandon Aiyuk,SF,WR22,29,83,51.8,10.4
50,4,Mark Andrews,BAL,TE4,26,69,52,8
51,5,Tee Higgins,CIN,WR23,30,97,54.7,11.1
52,5,Diontae Johnson,PIT,WR24,35,88,55,10.3
53,5,Lamar Jackson,BAL,QB4,19,93,55.5,11.1
54,5,T.J. Hockenson,DET,TE5,26,106,55.7,12.3
55,5,Darrell Henderson,LAR,RB22,27,131,56.1,18.1
56,5,Kyle Pitts,ATL,TE6,18,255,56.4,21
57,5,Damien Harris,NE,RB23,20,110,58.1,17.6
58,5,Chase Claypool,PIT,WR25,35,160,59.5,15.7
59,5,Mike Davis,ATL,RB24,31,255,59.9,24.2
60,5,Odell Beckham Jr.,CLE,WR26,39,137,60,13.8
61,5,Dak Prescott,DAL,QB5,19,96,62.1,10.9
62,5,Kenny Golladay,NYG,WR27,33,102,62.1,14.8
63,5,Kareem Hunt,CLE,RB25,42,99,63.2,10.3
64,5,Myles Gaskin,MIA,RB26,36,110,65.2,15
65,5,Jerry Jeudy,DEN,WR28,35,189,66.4,17.4
66,5,Courtland Sutton,DEN,WR29,40,110,67.1,12.4
67,5,Russell Wilson,SEA,QB6,38,103,68.8,9
68,5,Ja'Marr Chase,CIN,WR30,32,151,69,16.7
69,5,Aaron Rodgers,GB,QB7,51,105,72,10.2
70,5,Javonte Williams,DEN,RB27,9,363,71,32.4
71,5,Justin Herbert,LAC,QB8,54,95,76.5,9
72,5,Raheem Mostert,SF,RB28,40,120,76.9,14.6
73,5,Chase Edmonds,ARI,RB29,42,143,78.3,16.3
74,5,JuJu Smith-Schuster,PIT,WR31,52,140,79.8,13.7
75,6,Robby Anderson,CAR,WR32,36,153,76.8,15.4
76,6,Ronald Jones II,TB,RB30,42,133,82.4,13.3
77,6,Deebo Samuel,SF,WR33,38,169,83.4,18.4
78,6,Brandin Cooks,HOU,WR34,49,182,83.5,18
79,6,Melvin Gordon III,DEN,RB31,33,156,84,15.7
80,6,Tyler Boyd,CIN,WR35,55,138,85.7,13.9
81,6,Noah Fant,DEN,TE7,62,135,86.8,16.4
82,6,Tom Brady,TB,QB9,56,114,87.8,11.3
83,6,Will Fuller V,MIA,WR36,49,194,89.2,19.5
84,6,D.J. Chark Jr.,JAC,WR37,39,174,90.2,23.6
85,6,Corey Davis,NYJ,WR38,53,229,90.3,24.4
86,6,Ryan Tannehill,TEN,QB10,65,117,90.5,9.5
87,6,DeVonta Smith,PHI,WR39,35,172,91.8,21.4
88,6,Logan Thomas,WAS,TE8,53,142,92.7,20.4
89,6,Robert Tonyan,GB,TE9,61,154,92.9,18.1
90,6,Trey Sermon,SF,RB32,31,378,86.3,35.1
91,6,Jalen Hurts,PHI,QB11,60,154,94.7,13.9
92,6,Antonio Brown,TB,WR40,43,193,92.7,24.2
93,6,James Conner,ARI,RB33,56,205,97.4,18.6
94,6,Matthew Stafford,LAR,QB12,70,131,98.3,10.1
95,6,Mike Williams,LAC,WR41,50,218,94.8,21.1
96,6,Laviska Shenault Jr.,JAC,WR42,64,294,98.4,26.4
97,6,Dallas Goedert,PHI,TE10,53,161,98.8,20.3
98,6,Zack Moss,BUF,RB34,64,177,100,16.4
99,6,Tyler Higbee,LAR,TE11,63,236,97,25.4
100,6,AJ Dillon,GB,RB35,67,190,102.2,19.2
101,6,Michael Gallup,DAL,WR43,64,211,102.3,19.6
102,6,Leonard Fournette,TB,RB36,71,182,102.7,18.8
103,6,Jarvis Landry,CLE,WR44,56,160,105.3,18.2
104,6,Curtis Samuel,WAS,WR45,55,244,102.7,22.4
105,6,Marvin Jones Jr.,JAC,WR46,60,186,107.4,22.7
106,6,Joe Burrow,CIN,QB13,70,167,108.2,11.9
107,6,Mike Gesicki,MIA,TE12,66,141,108.7,17.9
108,6,Michael Carter,NYJ,RB37,58,366,104.3,29.3
109,6,Jamaal Williams,DET,RB38,71,170,114,15.3
110,7,Kenyan Drake,LV,RB39,42,255,114.3,20.3
111,7,Michael Pittman Jr.,IND,WR47,67,203,114.4,26
112,7,Devin Singletary,BUF,RB40,76,195,118,14.5
113,7,Jonnu Smith,NE,TE13,63,227,118.7,21.9
114,7,Marquez Callaway,NO,WR48,61,198,119.7,29.7
115,7,Jaylen Waddle,MIA,WR49,58,290,120.1,32.1
116,7,Marquise Brown,BAL,WR50,75,223,121.1,26.7
117,7,Matt Ryan,ATL,QB14,77,224,122.6,19.1
118,7,Tony Pollard,DAL,RB41,83,200,123.6,17.8
119,7,Trevor Lawrence,JAC,QB15,90,236,124.8,22.5
120,7,Kirk Cousins,MIN,QB16,95,172,126.8,18.1
121,7,David Johnson,HOU,RB42,59,256,127.8,33.4
