,Player,Team,Rank,Pos,Bye,Best,Worst,Avg,Std Dev,ADP
1,Christian McCaffrey,CAR,1,RB1,13.0,1.0,4.0,1.1,0.4,1.0
2,Saquon Barkley,NYG,2,RB2,11.0,1.0,5.0,2.1,0.6,2.0
3,Ezekiel Elliott,DAL,3,RB3,10.0,2.0,10.0,3.2,1.0,3.0
4,Alvin Kamara,NO,4,RB4,6.0,2.0,18.0,4.6,1.4,5.0
5,Dalvin Cook,MIN,5,RB5,7.0,2.0,22.0,6.4,2.4,7.0
6,Derrick Henry,TEN,6,RB6,7.0,3.0,17.0,7.0,2.7,6.0
8,Michael Thomas,NO,7,WR1,6.0,3.0,16.0,7.6,2.5,4.0
9,Clyde Edwards-Helaire,KC,8,RB7,10.0,4.0,58.0,10.4,5.9,18.0
10,Davante Adams,GB,9,WR2,5.0,3.0,18.0,10.5,2.8,8.0
11,Joe Mixon,CIN,10,RB8,9.0,4.0,38.0,12.4,6.5,9.0
12,Julio Jones,ATL,11,WR3,10.0,6.0,25.0,13.6,3.4,11.0
13,Tyreek Hill,KC,12,WR4,10.0,5.0,41.0,14.3,4.0,10.0
14,Miles Sanders,PHI,13,RB9,9.0,5.0,40.0,15.0,6.4,23.0
15,Nick Chubb,CLE,14,RB10,9.0,4.0,43.0,15.3,5.8,12.0
16,Josh Jacobs,LV,15,RB11,6.0,2.0,61.0,15.5,6.2,15.0
18,Kenyan Drake,ARI,16,RB12,8.0,6.0,59.0,16.7,7.3,14.0
19,Austin Ekeler,LAC,17,RB13,10.0,4.0,43.0,17.7,7.2,24.0
20,Travis Kelce,KC,18,TE1,10.0,8.0,44.0,18.0,3.9,16.0
21,DeAndre Hopkins,ARI,19,WR5,8.0,8.0,42.0,20.0,5.9,13.0
22,Chris Godwin,TB,20,WR6,13.0,11.0,45.0,20.0,5.1,19.0
23,Aaron Jones,GB,21,RB14,5.0,7.0,62.0,20.1,7.3,22.0
24,George Kittle,SF,22,TE2,11.0,11.0,65.0,21.1,4.9,20.0
25,Kenny Golladay,DET,23,WR7,5.0,13.0,52.0,24.3,6.0,25.0
27,Allen Robinson,CHI,24,WR8,11.0,10.0,73.0,28.6,7.9,28.0
28,Patrick Mahomes,KC,25,QB1,10.0,15.0,61.0,28.6,7.2,17.0
29,Mike Evans,TB,26,WR9,13.0,15.0,69.0,29.2,7.5,26.0
30,Chris Carson,SEA,27,RB15,6.0,18.0,76.0,31.2,9.3,34.0
31,Lamar Jackson,BAL,28,QB2,8.0,6.0,70.0,31.2,9.9,21.0
32,James Conner,PIT,29,RB16,8.0,9.0,88.0,33.2,10.8,42.0
33,Todd Gurley,ATL,30,RB17,10.0,7.0,77.0,33.7,11.7,29.0
34,D.J. Moore,CAR,31,WR10,13.0,11.0,96.0,33.9,11.6,33.0
35,Adam Thielen,MIN,32,WR11,7.0,17.0,70.0,34.4,9.4,31.0
36,JuJu Smith-Schuster,PIT,33,WR12,8.0,12.0,82.0,35.2,10.3,30.0
37,Odell Beckh,CLE,34,WR13,9.0,15.0,83.0,35.5,9.9,27.0
38,Amari Cooper,DAL,35,WR14,10.0,15.0,71.0,36.4,9.4,32.0
39,Melvin Gordon,DEN,36,RB18,8.0,14.0,87.0,39.3,10.7,37.0
40,Jonathan Taylor,IND,37,RB19,7.0,14.0,177.0,40.3,13.2,40.0
41,Robert Woods,LAR,38,WR15,9.0,16.0,86.0,40.7,12.3,58.0
42,A.J. Brown,TEN,39,WR16,7.0,21.0,87.0,40.7,9.3,35.0
43,David Johnson,HOU,40,RB20,8.0,18.0,95.0,40.8,11.9,50.0
44,Calvin Ridley,ATL,41,WR17,10.0,16.0,92.0,41.1,10.3,43.0
45,Le'Veon Bell,NYJ,42,RB21,11.0,13.0,141.0,42.7,11.7,44.0
46,Cooper Kupp,LAR,43,WR18,9.0,11.0,105.0,43.1,13.1,39.0
48,Mark Andrews,BAL,44,TE3,8.0,17.0,93.0,45.0,10.0,36.0
49,Mark Ingr,BAL,45,RB22,8.0,21.0,149.0,48.4,14.2,46.0
50,Terry McLaurin,WAS,46,WR19,8.0,18.0,102.0,49.5,13.8,55.0
51,D.J. Chark,JAC,47,WR20,7.0,25.0,96.0,49.6,12.2,51.0
52,Tyler Lockett,SEA,48,WR21,6.0,24.0,128.0,50.2,11.0,48.0
53,Zach Ertz,PHI,49,TE4,9.0,27.0,120.0,51.0,9.3,41.0
54,nan n,nan,nan,,,,,,,
55,D.K. Metcalf,SEA,50,WR22,6.0,27.0,120.0,55.5,15.2,54.0
56,Keenan Allen,LAC,51,WR23,10.0,24.0,94.0,55.9,13.2,49.0
57,Courtland Sutton,DEN,52,WR24,8.0,30.0,129.0,56.2,16.0,45.0
58,Dak Prescott,DAL,53,QB3,10.0,19.0,92.0,56.2,9.2,47.0
59,Kareem Hunt,CLE,54,RB23,9.0,26.0,102.0,58.3,13.0,71.0
60,Cam Akers,LAR,55,RB24,9.0,26.0,180.0,58.7,17.2,70.0
61,Raheem Mostert,SF,56,RB25,11.0,24.0,179.0,58.3,20.0,60.0
62,Darren Waller,LV,57,TE5,6.0,33.0,147.0,62.4,14.9,56.0
