,Player,Team,Rank,Pos,Bye,Best,Worst,Avg,Std Dev,ADP
1,Christian McCaffrey,CAR,1,RB1,13.0,1.0,6.0,1.1,0.4,1.0
2,Saquon Barkley,NYG,2,RB2,11.0,1.0,4.0,2.2,0.6,2.0
3,Ezekiel Elliott,DAL,3,RB3,10.0,2.0,14.0,3.1,0.8,3.0
4,Alvin Kamara,NO,4,RB4,6.0,1.0,10.0,4.0,1.3,6.0
6,Dalvin Cook,MIN,5,RB5,7.0,2.0,20.0,6.4,2.5,5.0
7,Michael Thomas,NO,6,WR1,6.0,3.0,27.0,6.7,1.7,4.0
8,Davante Adams,GB,7,WR2,5.0,5.0,30.0,9.6,2.2,8.0
9,Derrick Henry,TEN,8,RB6,7.0,5.0,27.0,10.2,5.7,7.0
10,Clyde Edwards-Helaire,KC,9,RB7,10.0,4.0,60.0,11.0,5.9,21.0
11,Julio Jones,ATL,10,WR3,10.0,7.0,21.0,12.2,2.3,14.0
12,Austin Ekeler,LAC,11,RB8,10.0,4.0,41.0,12.5,6.8,11.0
14,Tyreek Hill,KC,12,WR4,10.0,9.0,40.0,13.5,3.1,12.0
15,Joe Mixon,CIN,13,RB9,9.0,4.0,40.0,14.3,5.7,9.0
16,Miles Sanders,PHI,14,RB10,9.0,5.0,41.0,14.7,6.6,13.0
17,Kenyan Drake,ARI,15,RB11,8.0,4.0,70.0,15.9,9.0,15.0
18,Travis Kelce,KC,16,TE1,10.0,9.0,38.0,17.3,2.8,18.0
19,DeAndre Hopkins,ARI,17,WR5,8.0,9.0,35.0,17.6,5.3,10.0
20,Chris Godwin,TB,18,WR6,13.0,11.0,45.0,18.7,4.7,19.0
21,Josh Jacobs,LV,19,RB12,6.0,4.0,51.0,20.2,7.2,16.0
22,George Kittle,SF,20,TE2,11.0,15.0,38.0,20.4,4.2,22.0
23,Aaron Jones,GB,21,RB13,5.0,8.0,75.0,20.7,7.6,20.0
24,Nick Chubb,CLE,22,RB14,9.0,6.0,47.0,21.6,5.4,17.0
26,Allen Robinson,CHI,23,WR7,11.0,12.0,50.0,23.4,5.5,28.0
27,Kenny Golladay,DET,24,WR8,5.0,12.0,46.0,24.7,6.1,25.0
28,D.J. Moore,CAR,25,WR9,13.0,11.0,53.0,29.1,7.4,30.0
29,Mike Evans,TB,26,WR10,13.0,13.0,55.0,29.8,7.5,26.0
30,JuJu Smith-Schuster,PIT,27,WR11,8.0,12.0,64.0,30.2,7.0,32.0
31,Patrick Mahomes,KC,28,QB1,10.0,19.0,54.0,31.1,7.1,24.0
32,Adam Thielen,MIN,29,WR12,7.0,15.0,58.0,31.4,7.7,36.0
33,Odell Beckh,CLE,30,WR13,9.0,13.0,65.0,33.4,7.0,27.0
34,Robert Woods,LAR,31,WR14,9.0,15.0,67.0,34.1,7.6,46.0
35,Amari Cooper,DAL,32,WR15,10.0,15.0,51.0,34.4,7.1,33.0
36,Lamar Jackson,BAL,33,QB2,8.0,6.0,68.0,34.5,8.7,23.0
38,Cooper Kupp,LAR,34,WR16,9.0,16.0,80.0,36.9,9.0,34.0
39,Todd Gurley,ATL,35,RB15,10.0,9.0,140.0,37.1,13.1,29.0
40,Chris Carson,SEA,36,RB16,6.0,11.0,79.0,37.5,9.9,31.0
41,Calvin Ridley,ATL,37,WR17,10.0,21.0,86.0,37.7,7.5,43.0
42,James Conner,PIT,38,RB17,8.0,9.0,128.0,37.9,11.4,39.0
43,Mark Andrews,BAL,39,TE3,8.0,17.0,75.0,39.5,11.3,47.0
44,A.J. Brown,TEN,40,WR18,7.0,21.0,59.0,41.9,7.1,41.0
45,Zach Ertz,PHI,41,TE4,9.0,26.0,75.0,42.7,8.6,40.0
46,D.J. Chark,JAC,42,WR19,7.0,21.0,64.0,43.6,8.0,50.0
47,Le'Veon Bell,NYJ,43,RB18,11.0,11.0,126.0,44.2,14.7,35.0
48,Melvin Gordon,DEN,44,RB19,8.0,8.0,82.0,44.3,12.2,37.0
49,Terry McLaurin,WAS,45,WR20,8.0,13.0,73.0,45.0,9.1,61.0
50,Keenan Allen,LAC,46,WR21,10.0,21.0,74.0,45.7,8.4,48.0
51,Tyler Lockett,SEA,47,WR22,6.0,28.0,74.0,45.8,7.2,54.0
52,David Johnson,HOU,48,RB20,8.0,19.0,135.0,47.3,13.4,38.0
53,Courtland Sutton,DEN,49,WR23,8.0,30.0,82.0,50.3,8.5,45.0
54,nan n,nan,nan,,,,,,,
55,D.K. Metcalf,SEA,50,WR24,6.0,26.0,101.0,50.6,7.9,52.0
56,Jonathan Taylor,IND,51,RB21,7.0,10.0,147.0,50.7,16.2,42.0
58,DeVante Parker,MIA,52,WR25,11.0,25.0,122.0,54.0,9.3,51.0
59,T.Y. Hilton,IND,53,WR26,7.0,39.0,105.0,56.4,8.8,58.0
60,Stefon Diggs,BUF,54,WR27,11.0,29.0,86.0,58.0,9.1,63.0
61,Dak Prescott,DAL,55,QB3,10.0,19.0,97.0,58.0,9.2,57.0
62,Darren Waller,LV,56,TE5,6.0,26.0,142.0,59.4,16.0,59.0
63,Mark Ingr,BAL,57,RB22,8.0,19.0,143.0,59.7,15.1,55.0
64,Tyler Boyd,CIN,58,WR28,9.0,32.0,108.0,60.4,9.3,69.0
65,Kareem Hunt,CLE,59,RB23,9.0,25.0,119.0,62.8,13.3,64.0
66,Jarvis Landry,CLE,60,WR29,9.0,29.0,99.0,63.1,10.7,70.0
67,Russell Wilson,SEA,61,QB4,6.0,36.0,100.0,64.4,6.6,66.0
68,Michael Gallup,DAL,62,WR30,10.0,43.0,127.0,66.2,12.9,75.0
69,Kyler Murray,ARI,63,QB5,8.0,38.0,118.0,66.4,8.9,60.0
70,Marquise Brown,BAL,64,WR31,8.0,33.0,97.0,66.7,12.3,72.0
