,Player,Team,Rank,Pos,Bye,Best,Worst,Avg,Std Dev,ADP
1,Christian McCaffrey,CAR,1,RB1,13.0,1.0,6.0,1.2,0.8,1.0
2,Saquon Barkley,NYG,2,RB2,11.0,1.0,5.0,2.2,0.7,3.0
3,Ezekiel Elliott,DAL,3,RB3,10.0,2.0,12.0,3.1,0.7,2.0
4,Derrick Henry,TEN,4,RB4,7.0,2.0,27.0,5.1,1.8,7.0
5,Alvin Kamara,NO,5,RB5,6.0,1.0,20.0,5.9,1.5,5.0
7,Dalvin Cook,MIN,6,RB6,7.0,2.0,57.0,7.1,6.4,6.0
8,Michael Thomas,NO,7,WR1,6.0,3.0,22.0,9.7,2.8,4.0
9,Nick Chubb,CLE,8,RB7,9.0,4.0,42.0,10.0,5.5,10.0
10,Joe Mixon,CIN,9,RB8,9.0,4.0,31.0,10.5,5.5,8.0
11,Josh Jacobs,LV,10,RB9,6.0,3.0,44.0,11.3,5.9,12.0
12,Davante Adams,GB,11,WR2,5.0,3.0,135.0,12.0,4.1,9.0
13,Tyreek Hill,KC,12,WR3,10.0,5.0,137.0,13.2,3.1,11.0
15,Julio Jones,ATL,13,WR4,10.0,10.0,136.0,15.1,4.4,13.0
16,Clyde Edwards-Helaire,KC,14,RB10,10.0,3.0,34.0,12.6,6.4,15.0
17,Miles Sanders,PHI,15,RB11,9.0,5.0,42.0,16.9,6.5,21.0
18,Travis Kelce,KC,16,TE1,10.0,11.0,46.0,17.5,2.6,17.0
19,George Kittle,SF,17,TE2,11.0,11.0,37.0,18.5,2.8,23.0
20,Chris Godwin,TB,18,WR5,13.0,11.0,138.0,19.5,7.7,18.0
21,Aaron Jones,GB,19,RB12,5.0,7.0,47.0,19.7,7.4,16.0
22,Kenyan Drake,ARI,20,RB13,8.0,5.0,66.0,20.6,9.1,22.0
23,DeAndre Hopkins,ARI,21,WR6,8.0,11.0,139.0,23.2,8.2,14.0
24,Kenny Golladay,DET,22,WR7,5.0,13.0,140.0,23.3,10.6,24.0
26,Patrick Mahomes,KC,23,QB1,10.0,13.0,54.0,25.8,9.1,19.0
27,Mike Evans,TB,24,WR8,13.0,14.0,142.0,27.6,12.5,26.0
28,Austin Ekeler,LAC,25,RB14,10.0,5.0,47.0,29.3,8.0,25.0
29,Mark Andrews,BAL,26,TE3,8.0,13.0,63.0,29.6,9.3,31.0
30,Chris Carson,SEA,27,RB15,6.0,8.0,71.0,31.1,10.3,37.0
31,Lamar Jackson,BAL,28,QB2,8.0,6.0,56.0,31.8,10.3,20.0
32,A.J. Brown,TEN,29,WR9,7.0,15.0,141.0,32.7,13.6,35.0
33,Amari Cooper,DAL,30,WR10,10.0,15.0,169.0,33.6,15.4,27.0
34,Allen Robinson,CHI,31,WR11,11.0,15.0,148.0,34.0,14.5,33.0
35,Odell Beckh,CLE,32,WR12,9.0,16.0,211.0,35.0,15.5,28.0
36,Adam Thielen,MIN,33,WR13,7.0,20.0,209.0,35.2,14.6,39.0
37,Todd Gurley,ATL,34,RB16,10.0,8.0,81.0,35.4,13.8,29.0
38,D.J. Moore,CAR,35,WR14,13.0,12.0,157.0,36.0,11.8,38.0
40,JuJu Smith-Schuster,PIT,36,WR15,8.0,13.0,218.0,37.7,15.4,30.0
41,Calvin Ridley,ATL,37,WR16,10.0,23.0,163.0,40.9,14.8,42.0
42,Leonard Fournette,JAC,38,RB17,7.0,12.0,76.0,40.9,13.1,32.0
43,James Conner,PIT,39,RB18,8.0,7.0,89.0,41.8,13.1,54.0
44,Melvin Gordon,DEN,40,RB19,8.0,9.0,83.0,43.4,9.9,43.0
45,Robert Woods,LAR,41,WR17,9.0,23.0,206.0,44.1,15.6,56.0
46,Tyler Lockett,SEA,42,WR18,6.0,31.0,207.0,45.3,13.9,47.0
47,Cooper Kupp,LAR,43,WR19,9.0,11.0,210.0,45.4,15.9,36.0
48,Zach Ertz,PHI,44,TE4,9.0,25.0,170.0,46.5,11.0,46.0
49,Jonathan Taylor,IND,45,RB20,7.0,10.0,143.0,42.7,17.2,34.0
50,Terry McLaurin,WAS,46,WR20,8.0,16.0,156.0,47.4,13.6,63.0
51,David Johnson,HOU,47,RB21,8.0,20.0,88.0,48.4,14.3,44.0
52,D.K. Metcalf,SEA,48,WR21,6.0,25.0,163.0,49.0,16.6,45.0
53,Le'Veon Bell,NYJ,49,RB22,11.0,15.0,83.0,49.6,12.5,50.0
54,nan n,nan,nan,,,,,,,
56,D.J. Chark,JAC,50,WR22,7.0,30.0,204.0,50.8,17.4,60.0
57,Courtland Sutton,DEN,51,WR23,8.0,30.0,176.0,51.0,18.6,48.0
58,Mark Ingr,BAL,52,RB23,8.0,12.0,123.0,51.7,13.9,53.0
59,David Montgomery,CHI,53,RB24,11.0,14.0,84.0,54.2,11.9,61.0
60,Dak Prescott,DAL,54,QB3,10.0,31.0,91.0,54.3,7.2,40.0
61,DeVante Parker,MIA,55,WR24,11.0,30.0,213.0,55.6,18.5,55.0
62,Russell Wilson,SEA,56,QB4,6.0,37.0,87.0,58.5,7.6,52.0
63,T.Y. Hilton,IND,57,WR25,7.0,30.0,177.0,59.8,17.4,66.0
64,Keenan Allen,LAC,58,WR26,10.0,25.0,188.0,60.0,19.2,49.0
65,Kyler Murray,ARI,59,QB5,8.0,19.0,114.0,60.2,8.6,57.0
66,Raheem Mostert,SF,60,RB25,11.0,25.0,147.0,62.6,14.0,51.0
67,Deshaun Watson,HOU,61,QB6,8.0,32.0,105.0,63.1,9.8,41.0
68,Darren Waller,LV,62,TE5,6.0,26.0,177.0,60.8,19.0,65.0
69,Stefon Diggs,BUF,63,WR27,11.0,33.0,179.0,62.7,19.5,58.0
70,Devin Singletary,BUF,64,RB26,11.0,14.0,104.0,67.8,13.7,59.0
71,Michael Gallup,DAL,65,WR28,10.0,30.0,217.0,69.8,21.9,71.0
73,Marquise Brown,BAL,66,WR29,8.0,30.0,180.0,72.2,19.2,77.0
74,D'Andre Swift,DET,67,RB27,5.0,9.0,153.0,69.9,18.1,62.0
75,Jarvis Landry,CLE,68,WR30,9.0,37.0,200.0,74.0,20.2,69.0
76,A.J. Green,CIN,69,WR31,9.0,29.0,196.0,72.1,22.1,67.0
77,Josh Allen,BUF,70,QB7,11.0,39.0,116.0,75.9,11.2,68.0
78,Cam Akers,LAR,71,RB28,9.0,35.0,161.0,73.1,19.1,64.0
79,Matt Ryan,ATL,72,QB8,10.0,45.0,125.0,78.6,13.2,74.0
80,Tyler Boyd,CIN,73,WR32,9.0,37.0,202.0,78.7,22.6,79.0
81,Ronald Jon,TB,74,RB29,13.0,27.0,168.0,79.2,21.5,84.0
82,nan n,nan,nan,,,,,,,
83,Kareem Hunt,CLE,75,RB30,9.0,41.0,143.0,79.7,15.9,70.0
84,Evan Engram,NYG,76,TE6,11.0,31.0,187.0,82.4,28.3,76.0
85,Marvin Jones,DET,77,WR33,5.0,52.0,197.0,81.2,19.8,98.0
86,Will Fuller,HOU,78,WR34,8.0,46.0,204.0,84.8,25.0,91.0
87,Julian Edelman,NE,79,WR35,6.0,41.0,199.0,82.9,23.4,81.0
88,Carson Wentz,PHI,80,QB9,9.0,50.0,150.0,87.9,13.2,82.0
89,Hunter Henry,LAC,81,TE7,10.0,46.0,182.0,85.6,25.9,78.0
90,Tyler Higbee,LAR,82,TE8,9.0,26.0,181.0,89.4,30.1,94.0
91,Jordan Howard,MIA,83,RB31,11.0,42.0,176.0,89.6,19.2,89.0
92,Drew Brees,NO,84,QB10,6.0,45.0,131.0,90.9,15.2,72.0
93,Brandin Cooks,HOU,85,WR36,8.0,45.0,188.0,85.6,21.3,87.0
94,Tom Brady,TB,86,QB11,13.0,54.0,131.0,94.8,14.6,85.0
95,J.K. Dobbins,BAL,87,RB32,8.0,47.0,185.0,92.5,21.3,86.0
96,Matthew Stafford,DET,88,QB12,5.0,44.0,172.0,98.7,14.1,103.0
97,Jared Cook,NO,89,TE9,6.0,38.0,198.0,100.0,31.2,83.0
99,Tevin Coleman,SF,90,RB33,11.0,56.0,186.0,101.4,20.4,116.0
100,Phillip Lindsay,DEN,91,RB34,8.0,48.0,177.0,102.2,19.6,101.0
101,Marlon Mack,IND,92,RB35,7.0,36.0,196.0,102.3,27.6,93.0
102,Aaron Rodgers,GB,93,QB13,5.0,55.0,167.0,102.7,17.6,75.0
103,Matt Breida,MIA,94,RB36,11.0,62.0,170.0,104.0,19.1,111.0
104,Diontae Johnson,PIT,95,WR37,8.0,41.0,210.0,101.4,27.3,113.0
105,John Brown,BUF,96,WR38,11.0,50.0,218.0,101.9,28.2,109.0
106,Kerryon Johnson,DET,97,RB37,5.0,31.0,183.0,105.4,21.9,88.0
107,James White,NE,98,RB38,6.0,51.0,201.0,109.6,20.6,96.0
108,Mike Williams,LAC,99,WR39,10.0,41.0,193.0,98.5,26.7,105.0
109,nan n,nan,nan,,,,,,,
110,Christian Kirk,ARI,100,WR40,8.0,64.0,196.0,104.3,26.9,102.0
111,Latavius Murray,NO,101,RB39,6.0,44.0,227.0,114.5,24.1,126.0
112,Darius Slayton,NYG,102,WR41,11.0,52.0,211.0,105.5,27.9,107.0
113,Daniel Jones,NYG,103,QB14,11.0,58.0,191.0,115.2,20.4,106.0
114,Hayden Hurst,ATL,104,TE10,10.0,18.0,266.0,106.0,35.0,127.0
115,Ben Roethlisberger,PIT,105,QB15,8.0,62.0,179.0,117.5,16.9,120.0
116,Rob Gronkowski,TB,106,TE11,13.0,46.0,257.0,104.7,31.5,73.0
117,Jamison Crowder,NYJ,107,WR42,11.0,66.0,220.0,111.4,30.9,124.0
118,Sony Michel,NE,108,RB40,6.0,59.0,201.0,113.1,28.0,90.0
119,Austin Hooper,CLE,109,TE12,9.0,53.0,232.0,119.1,27.8,97.0
120,Jared Goff,LAR,110,QB16,9.0,59.0,197.0,122.7,19.4,114.0
121,CeeDee Lamb,DAL,111,WR43,10.0,64.0,297.0,114.0,38.8,92.0
122,Cam Newton,NE,112,QB17,6.0,64.0,324.0,120.9,36.8,158.0
123,Zack Moss,BUF,113,RB41,11.0,42.0,329.0,118.4,34.2,133.0
124,Deebo Samuel,SF,114,WR44,11.0,64.0,226.0,109.0,32.9,80.0
125,Mike Gesicki,MIA,115,TE13,11.0,50.0,258.0,119.2,34.9,131.0
126,Emmanuel Sanders,NO,116,WR45,6.0,55.0,210.0,113.9,25.0,100.0
127,Anthony Miller,CHI,117,WR46,11.0,73.0,221.0,118.4,30.0,150.0
128,Tarik Cohen,CHI,118,RB42,11.0,63.0,208.0,128.1,20.2,112.0
129,Alexander Mattison,MIN,119,RB43,7.0,68.0,205.0,128.7,23.6,128.0
130,Sterling Shepard,NYG,120,WR47,11.0,74.0,210.0,113.8,26.8,122.0
131,Baker Mayfield,CLE,121,QB18,9.0,78.0,193.0,129.5,23.3,104.0
132,Ryan Tannehill,TEN,122,QB19,7.0,61.0,198.0,130.2,23.2,123.0
134,Darrell Henderson,LAR,123,RB44,9.0,64.0,272.0,127.9,29.2,132.0
135,Noah Fant,DEN,124,TE14,8.0,68.0,236.0,123.6,24.6,108.0
136,Adrian Peterson,WAS,125,RB45,8.0,56.0,312.0,128.1,35.0,145.0
137,Jonnu Smith,TEN,126,TE15,7.0,69.0,281.0,129.9,30.8,142.0
138,Duke Johnson,HOU,127,RB46,8.0,77.0,223.0,139.9,24.2,141.0
139,Ke'Shawn Vaughn,TB,128,RB47,13.0,76.0,333.0,132.1,42.3,95.0
140,T.J. Hockenson,DET,129,TE16,5.0,78.0,188.0,133.3,21.5,118.0
141,Mecole Hardman,KC,130,WR48,10.0,62.0,222.0,128.2,33.8,125.0
142,Joe Burrow,CIN,131,QB20,9.0,61.0,328.0,143.3,36.0,115.0
143,Dallas Goedert,PHI,132,TE17,9.0,68.0,253.0,135.7,26.2,138.0
144,Preston Williams,MIA,133,WR49,11.0,72.0,264.0,131.5,27.9,148.0
