Pos,Team,Name,G,Snaps,TeamSnaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap
TE,PIT,Heath Miller,16,1083,1113,97.3,67.69,0,8.4,8.4,94.1,0.09
TE,CAR,Greg Olsen,16,1067,1104,96.65,66.69,0,11.53,11.53,136.8,0.13
WR,PIT,Antonio Brown,16,1063,1113,95.51,66.44,0.38,17.03,17.4,251.9,0.24
WR,HOU,DeAndre Hopkins,16,1053,1109,94.95,65.81,0,12.06,12.06,155,0.15
TE,DAL,Jason Witten,16,1048,1059,98.96,65.5,0,8.59,8.59,100.3,0.1
WR,BUF,Sammy Watkins,16,1027,1062,96.7,64.19,0.19,12.46,12.66,133,0.13
WR,PHI,Jeremy Maclin,16,1022,1176,86.9,63.88,0,14.09,14.09,192.9,0.19
WR,DEN,Demaryius Thomas,16,1021,1128,90.51,63.81,0,18.02,18.02,229.9,0.23
WR,DEN,Emmanuel Sanders,16,1000,1128,88.65,62.5,0.8,14.1,14.9,200.8,0.2
WR,CIN,Mohamed Sanu,16,986,1062,92.84,61.63,0.71,9.94,10.65,123.26,0.13
RB,CHI,Matt Forte,16,976,1058,92.25,61,27.25,13.32,40.57,244.6,0.25
WR,NYG,Rueben Randle,16,961,1128,85.2,60.06,0,13.22,13.22,111.8,0.12
WR,GB,Jordy Nelson,16,959,1050,91.33,59.94,0,15.75,15.75,229.9,0.24
WR,CHI,Alshon Jeffery,16,957,1058,90.45,59.81,0.63,15.15,15.78,176.6,0.18
WR,PHI,Riley Cooper,16,956,1176,81.29,59.75,0,9.83,9.83,73.7,0.08
TE,CHI,Martellus Bennett,16,954,1058,90.17,59.63,0,13.42,13.42,131.6,0.14
WR,SF,Anquan Boldin,16,952,1058,89.98,59.5,0.11,13.76,13.87,136.6,0.14
WR,ARI,Michael Floyd,16,944,1059,89.14,59,0.11,10.49,10.59,118.3,0.13
WR,SD,Malcom Floyd,16,943,1068,88.3,58.94,0,9.76,9.76,121.6,0.13
TE,ATL,Levine Toilolo,16,940,1081,86.96,58.75,0,5.64,5.64,33.8,0.04
RB,PIT,Le'Veon Bell,16,929,1113,83.47,58.06,31.22,11.3,42.52,287.5,0.31
WR,HOU,Andre Johnson,15,926,1038,89.21,61.73,0,15.77,15.77,105.6,0.11
WR,CAR,Kelvin Benjamin,16,925,1104,83.79,57.81,0,15.68,15.68,152.8,0.17
WR,DET,Golden Tate,16,924,1093,84.54,57.75,0.54,15.58,16.13,160.1,0.17
WR,GB,Randall Cobb,16,922,1050,87.81,57.63,1.19,13.77,14.97,202.4,0.22
WR,NE,Brandon LaFell,16,913,1131,80.73,57.06,0.22,13.03,13.25,136.6,0.15
TE,NYJ,Jeff Cumberland,16,910,1088,83.64,56.88,0,5.16,5.16,42.7,0.05
WR,TB,Vincent Jackson,16,904,994,90.95,56.5,0,15.71,15.71,110.2,0.12
WR,BUF,Robert Woods,16,899,1062,84.65,56.19,0,11.57,11.57,99.9,0.11
WR,DAL,Dez Bryant,16,897,1059,84.7,56.06,0,15.16,15.16,228,0.25
WR,SEA,Doug Baldwin,16,879,1057,83.16,54.94,0.11,11.15,11.26,101.3,0.12
WR,NO,Marques Colston,16,876,1140,76.84,54.75,0,11.3,11.3,118.2,0.13
TE,CIN,Jermaine Gresham,15,875,988,88.56,58.33,0,9.14,9.14,76,0.09
WR,MIN,Greg Jennings,16,873,1024,85.25,54.56,0,10.42,10.42,110.2,0.13
WR,WAS,Pierre Garcon,16,872,1054,82.73,54.5,0,12.04,12.04,93.2,0.11
WR,ATL,Roddy White,14,870,935,93.05,62.14,0,14.25,14.25,132.1,0.15
WR,ATL,Julio Jones,15,868,1021,85.01,57.87,0.12,18.78,18.89,193.4,0.22
TE,NYG,Larry Donnell,16,866,1128,76.77,54.13,0,10.62,10.62,90.3,0.1
WR,IND,Reggie Wayne,15,859,1089,78.88,57.27,0,13.5,13.5,87.9,0.1
WR,ARI,Larry Fitzgerald,14,857,950,90.21,61.21,0,12.02,12.02,88.4,0.1
WR,SD,Keenan Allen,14,837,914,91.58,59.79,0,14.46,14.46,98.3,0.12
WR,IND,TY Hilton,15,831,1093,76.03,55.4,0.24,15.76,16,176.5,0.21
TE,SF,Vernon Davis,14,830,924,89.83,59.29,0.12,6.02,6.14,36.9,0.04
TE,NE,Rob Gronkowski,15,825,1064,77.54,55,0,15.88,15.88,184.4,0.22
WR,BAL,Steve Smith,16,822,1076,76.39,51.38,0,16.3,16.3,140.5,0.17
WR,MIA,Mike Wallace,16,819,1095,74.79,51.19,0.49,14.04,14.53,145.8,0.18
TE,BAL,Owen Daniels,15,818,1011,80.91,54.53,0,9.54,9.54,76.7,0.09
TE,OAK,Mychal Rivera,16,818,1029,79.49,51.13,0,12.22,12.22,75.4,0.09
TE,PHI,Brent Celek,16,815,1176,69.3,50.94,0,6.26,6.26,38,0.05
WR,MIA,Brian Hartline,16,813,1095,74.25,50.81,0,7.75,7.75,59.4,0.07
