Pos,Team,Name,G,Snaps,TeamSnaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap
WR,HOU,DeAndre Hopkins,16,1084,1094,99.09,67.75,0.09,15.04,15.13,218.5,0.2
WR,LAR,Robert Woods,16,1041,1100,94.64,65.06,1.83,12.58,14.41,179.6,0.17
WR,MIN,Adam Thielen,16,1011,1051,96.19,63.19,0.49,15.33,15.83,194.3,0.19
TE,PHI,Zach Ertz,16,1000,1092,91.58,62.5,0,15.6,15.6,164.3,0.16
WR,PIT,Antonio Brown,15,999,1049,95.23,66.6,0,16.82,16.82,219.7,0.22
TE,KC,Travis Kelce,16,994,1047,94.94,62.13,0,15.09,15.09,191.6,0.19
WR,LAR,Brandin Cooks,16,989,1100,89.91,61.81,1.01,11.73,12.74,163.2,0.17
WR,PHI,Nelson Agholor,16,985,1092,90.2,61.56,0.3,9.85,10.15,101.4,0.1
RB,CAR,Christian McCaffrey,16,965,1057,91.3,60.31,22.69,12.85,35.54,278.5,0.29
WR,PIT,Juju Smith-Schuster,16,960,1117,85.94,60,0.1,17.29,17.4,185.9,0.19
WR,CLE,Jarvis Landry,16,958,1092,87.73,59.88,0.31,15.45,15.76,136.12,0.14
WR,BUF,Zay Jones,16,941,1059,88.86,58.81,0.11,10.84,10.95,109.2,0.12
WR,TB,Mike Evans,16,940,1116,84.23,58.75,0,14.79,14.79,204.4,0.22
WR,NYG,Sterling Shepard,16,938,1029,91.16,58.63,0.32,11.41,11.73,116.5,0.12
WR,NO,Michael Thomas,16,928,1050,88.38,58,0,15.84,15.84,190.5,0.21
TE,MIN,Kyle Rudolph,16,925,1051,88.01,57.81,0,8.76,8.76,87.4,0.09
WR,KC,Tyreek Hill,16,907,1047,86.63,56.69,2.43,15.1,17.53,241,0.27
WR,SEA,Tyler Lockett,16,905,1068,84.74,56.56,1.44,7.85,9.28,165.4,0.18
WR,DET,Kenny Golladay,15,904,1003,90.13,60.27,0.11,13.05,13.16,137.1,0.15
RB,DAL,Ezekiel Elliott,15,893,1001,89.21,59.53,34.04,10.64,44.68,250.2,0.28
WR,GB,Davante Adams,15,891,948,93.99,59.4,0,18.97,18.97,218.6,0.25
TE,SF,George Kittle,16,875,999,87.59,54.69,0.11,15.43,15.54,170.7,0.2
TE,CLE,David Njoku,16,873,1092,79.95,54.56,0,10.19,10.19,87.9,0.1
WR,ARI,Larry Fitzgerald,16,873,943,92.58,54.56,0,12.83,12.83,116.68,0.13
WR,MIN,Stefon Diggs,15,873,1002,87.13,58.2,1.15,16.95,18.1,164.3,0.19
WR,TEN,Corey Davis,16,873,986,88.54,54.56,0.69,12.83,13.52,118.6,0.14
TE,CHI,Trey Burton,16,859,1074,79.98,53.69,0.12,8.96,9.08,93.1,0.11
RB,NYG,Saquon Barkley,16,854,1029,82.99,53.38,30.56,14.17,44.73,294.8,0.35
WR,WAS,Josh Doctson,15,846,959,88.22,56.4,0,9.34,9.34,65.2,0.08
WR,OAK,Jordy Nelson,15,845,977,86.49,56.33,0.12,10.41,10.53,93.7,0.11
TE,CIN,CJ Uzomah,16,841,997,84.35,52.56,0,7.85,7.85,61.9,0.07
TE,NE,Rob Gronkowski,13,839,919,91.29,64.54,0,8.58,8.58,84.2,0.1
WR,OAK,Amari Cooper,15,838,1050,79.81,55.87,0.24,12.89,13.13,140.4,0.17
WR,ATL,Mohamed Sanu,16,829,1060,78.21,51.81,0.84,11.34,12.18,116.4,0.14
WR,CHI,Taylor Gabriel,16,829,1074,77.19,51.81,1.09,11.22,12.3,84.9,0.1
RB,LAR,Todd Gurley,14,825,959,86.03,58.93,31.03,9.82,40.85,313.1,0.38
WR,BAL,Willie Snead,16,821,1190,68.99,51.31,0.12,11.57,11.69,72.4,0.09
WR,DEN,Courtland Sutton,16,819,1074,76.26,51.19,0.12,10.26,10.38,94.3,0.12
WR,ATL,Julio Jones,16,818,1060,77.17,51.13,0.24,20.78,21.03,212.8,0.26
WR,JAX,Donte Moncrief,16,813,1039,78.25,50.81,0,11.07,11.07,82.8,0.1
TE,ATL,Austin Hooper,16,809,1060,76.32,50.56,0,10.88,10.88,92,0.11
WR,BAL,Michael Crabtree,16,805,1190,67.65,50.31,0,12.42,12.42,78.7,0.1
WR,JAX,Dede Westbrook,16,804,1039,77.38,50.25,1.12,12.56,13.68,107.5,0.13
WR,NE,Chris Hogan,16,804,1120,71.79,50.25,0,6.72,6.72,71.2,0.09
WR,KC,Chris Conley,16,802,1047,76.6,50.13,0,6.48,6.48,59.4,0.07
WR,LAC,Keenan Allen,16,795,996,79.82,49.69,1.13,17.23,18.36,163.1,0.21
TE,LAR,Tyler Higbee,16,788,1100,71.64,49.25,0,4.19,4.19,41.2,0.05
WR,TB,Adam Humphries,16,781,1116,69.98,48.81,0.26,13.32,13.57,112.7,0.14
WR,CIN,Tyler Boyd,14,773,901,85.79,55.21,0.26,13.97,14.23,145.1,0.19
WR,PHI,Alshon Jeffery,13,770,859,89.64,59.23,0,11.95,11.95,120.3,0.16
TE,OAK,Jared Cook,16,768,1045,73.49,48,0,13.15,13.15,125.6,0.16
WR,CLE,Antonio Callaway,16,766,1092,70.15,47.88,0.26,10.57,10.84,89.3,0.12
WR,CHI,Allen Robinson,13,764,889,85.94,58.77,0.13,12.3,12.43,98.3,0.13
WR,LAC,Tyrell Williams,16,762,996,76.51,47.63,0.26,8.4,8.66,96.8,0.13
WR,IND,T.Y. Hilton,14,762,983,77.52,54.43,0,15.75,15.75,163,0.21
WR,BAL,John Brown,16,758,1190,63.7,47.38,0.4,12.8,13.19,101.9,0.13
RB,ARI,David Johnson,16,749,943,79.43,46.81,34.45,10.15,44.59,196.7,0.26
WR,NE,Julian Edelman,12,748,855,87.49,62.33,1.2,14.44,15.64,133.42,0.18
WR,MIA,Kenny Stills,15,745,854,87.24,49.67,0,8.59,8.59,97.42,0.13
TE,HOU,Ryan Griffin,14,743,969,76.68,53.07,0,5.79,5.79,30.5,0.04
TE,GB,Jimmy Graham,16,739,1004,73.61,46.19,0,12.31,12.31,75.6,0.1
WR,DAL,Michael Gallup,16,738,1079,68.4,46.13,0,9.21,9.21,64.7,0.09
WR,CAR,D.J. Moore,16,732,1057,69.25,45.75,1.78,11.2,12.98,102,0.14
RB,PIT,James Conner,13,721,918,78.54,55.46,29.82,9.85,39.67,225,0.31
WR,TB,Chris Godwin,16,717,1116,64.25,44.81,0,13.25,13.25,126.2,0.18
WR,NYG,Odell Beckham Jr,12,716,764,93.72,59.67,0.7,17.32,18.02,153.34,0.21
WR,DAL,Cole Beasley,16,714,1079,66.17,44.63,0,12.04,12.04,85.2,0.12
WR,DEN,Demaryius Thomas,15,713,999,71.37,47.53,0,12.48,12.48,97.7,0.14
WR,SEA,Doug Baldwin,13,709,867,81.78,54.54,0,10.3,10.3,91.8,0.13
WR,JAX,Keelan Cole,16,687,1039,66.12,42.94,0,10.19,10.19,51.1,0.07
WR,NYJ,Robby Anderson,14,682,891,76.54,48.71,0.29,13.64,13.93,106.4,0.16
WR,MIA,Danny Amendola,15,680,865,78.61,45.33,0.15,11.62,11.76,68.42,0.1
TE,BAL,James Hurst,10,676,763,88.6,67.6,0,0,0,0,0
TE,LAC,Virgil Green,16,673,996,67.57,42.06,0,4.01,4.01,27,0.04
WR,DEN,Emmanuel Sanders,12,658,781,84.25,54.83,0.61,15.05,15.65,127.22,0.19
RB,NO,Alvin Kamara,15,656,998,65.73,43.73,29.57,16.01,45.58,273.2,0.42
TE,BAL,Nick Boyle,16,652,1190,54.79,40.75,0,5.67,5.67,21.3,0.03
TE,NO,Josh Hill,16,652,1050,62.1,40.75,0,3.68,3.68,24.5,0.04
WR,ATL,Calvin Ridley,16,645,1060,60.85,40.31,0.93,14.26,15.19,142.8,0.22
TE,IND,Eric Ebron,16,634,1135,55.86,39.63,0.47,17.35,17.82,156.2,0.25
WR,NE,Josh Gordon,12,634,882,71.88,52.83,0,11.04,11.04,97.7,0.15
WR,NYJ,Jermaine Kearse,14,626,885,70.73,44.71,0,12.14,12.14,43.1,0.07
WR,GB,Marquez Valdes-Scantling,16,626,1004,62.35,39.13,0.32,11.5,11.82,73,0.12
RB,CHI,Jordan Howard,16,624,1074,58.1,39,40.06,4.33,44.39,160,0.26
FB,SF,Kyle Juszczyk,16,623,999,62.36,38.94,1.28,6.42,7.7,37.4,0.06
WR,CAR,Devin Funchess,14,622,926,67.17,44.43,0,12.7,12.7,78.9,0.13
WR,LAC,Mike Williams,16,622,996,62.45,38.88,1.13,10.61,11.74,137.2,0.22
WR,SEA,David Moore,16,620,1068,58.05,38.75,0.16,8.39,8.55,75,0.12
RB,HOU,Lamar Miller,14,619,949,65.23,44.21,33.93,5.65,39.58,147.6,0.24
RB,TB,Peyton Barber,16,616,1116,55.2,38.5,37.99,4.71,42.69,130.3,0.21
WR,LAR,Josh Reynolds,16,611,1100,55.55,38.19,0.33,8.67,9,71,0.12
TE,TEN,Jonnu Smith,13,610,811,75.22,46.92,0,5.08,5.08,43.8,0.07
WR,DET,Golden Tate,15,607,982,61.81,40.47,0.66,18.62,19.28,108.9,0.18
RB,NE,James White,16,600,1120,53.57,37.5,15.67,20.5,36.17,189.6,0.32
WR,CIN,John Ross,13,600,811,73.98,46.15,0.67,9.67,10.33,63.9,0.11
RB,TEN,Dion Lewis,16,599,986,60.75,37.44,25.88,11.19,37.06,101.7,0.17
RB,CIN,Joe Mixon,14,595,859,69.27,42.5,39.83,9.24,49.08,200.4,0.34
WR,IND,Chester Rogers,16,594,1135,52.33,37.13,0.17,12.12,12.29,64.1,0.11
WR,TEN,Tajae Sharpe,16,592,986,60.04,37,0.17,7.94,8.11,45.2,0.08
WR,SF,Kendrick Bourne,16,583,999,58.36,36.44,0,11.32,11.32,72.7,0.12
RB,ATL,Tevin Coleman,16,581,1060,54.81,36.31,28.74,7.57,36.32,161.6,0.28
WR,CHI,Anthony Miller,15,575,1013,56.76,38.33,1.04,9.39,10.43,87.22,0.15
WR,OAK,Seth Roberts,15,571,969,58.93,38.07,0.53,11.38,11.91,61.9,0.11
WR,NO,Tre'Quan Smith,15,569,993,57.3,37.93,0,7.73,7.73,72.7,0.13
TE,PIT,Vance McDonald,15,564,1033,54.6,37.6,0,12.94,12.94,83,0.15
TE,PIT,Jesse James,16,563,1117,50.4,35.19,0,6.93,6.93,54.3,0.1
WR,IND,Ryan Grant,14,559,991,56.41,39.93,0,9.3,9.3,39.4,0.07
TE,NYG,Rhett Ellison,14,558,893,62.49,39.86,0,6.27,6.27,35.2,0.06
TE,DEN,Jeff Heuerman,11,555,722,76.87,50.45,0,8.83,8.83,40.1,0.07
TE,NYJ,Chris Herndon IV,14,549,879,62.46,39.21,0,10.2,10.2,74.2,0.14
RB,MIA,Kenyan Drake,16,545,920,59.24,34.06,22.02,13.39,35.41,153.2,0.28
WR,MIN,Laquon Treadwell,15,543,990,54.85,36.2,0,9.76,9.76,36.2,0.07
WR,ARI,Christian Kirk,12,542,685,79.12,45.17,0.55,12.55,13.1,80.5,0.15
TE,ARI,Ricky Seals-Jones,15,538,877,61.35,35.87,0,13.01,13.01,40.3,0.07
WR,DET,Marvin Jones,9,538,608,88.49,59.78,0,11.52,11.52,80.8,0.15
WR,BUF,Kelvin Benjamin,15,538,967,55.64,35.87,0,12.45,12.45,44,0.08
TE,TB,Cameron Brate,16,534,1116,47.85,33.38,0,9.18,9.18,62.9,0.12
TE,JAX,James O'Shaughnessy,14,531,907,58.54,37.93,0,7.16,7.16,21.4,0.04
TE,SEA,Nick Vannett,15,530,1004,52.79,35.33,0,8.11,8.11,44.9,0.08
WR,CAR,Jarius Wright,16,529,1057,50.05,33.06,0.38,11.34,11.72,54.6,0.1
WR,IND,Zach Pascal,16,527,1135,46.43,32.94,0.38,8.54,8.92,39.8,0.08
TE,DET,Levine Toilolo,16,527,1076,48.98,32.94,0,4.55,4.55,32.3,0.06
TE,CAR,Ian Thomas,16,526,1057,49.76,32.88,0,9.32,9.32,45.3,0.09
WR,PIT,James Washington,14,526,978,53.78,37.57,0,7.22,7.22,27.7,0.05
RB,LAC,Melvin Gordon,12,525,758,69.26,43.75,33.33,12.57,45.9,225.5,0.43
TE,PHI,Dallas Goedert,16,525,1092,48.08,32.81,0,8,8,57.4,0.11
WR,NYJ,Quincy Enunwa,11,525,685,76.64,47.73,0.19,13.14,13.33,48.9,0.09
TE,DAL,Geoff Swaim,9,514,581,88.47,57.11,0,6.23,6.23,30.2,0.06
TE,WAS,Jordan Reed,13,511,845,60.47,39.31,0,16.44,16.44,65.8,0.13
RB,JAX,TJ Yeldon,14,507,925,54.81,36.21,20.51,15.38,35.9,118.1,0.23
