,OppPPRFantasyPointsAllowed,PPRSOSRank,OppStandardFantasyPointsAllowed,StandardSOSRank,OppHalfPPRFantasyPointsAllowed,HalfPPRSOSRank,OppRushingFantasyPointsAllowed,RushingSOSRank,OppPassingFantasyPointsAllowed,PassingSOSRank,OppPPRReceivingFantasyPointsAllowed,PPRReceivingSOSRank,OppHalfPPRReceivingFantasyPointsAllowed,HalfPPRReceivingSOSRank,OppStandardReceivingFantasyPointsAllowed,StandardReceivingSOSRank
Atlanta Falcons,22091.179999999997,32.0,16533.18,32.0,19312.18,32.0,3865.5,18.0,3792.48,32.0,14433.199999999995,32.0,11654.199999999997,32.0,8875.2,32.0
Carolina Panthers,21749.219999999998,31.0,16198.22,31.0,18973.719999999998,31.0,3792.999999999999,11.0,3646.92,31.0,14309.299999999997,31.0,11533.8,31.0,8758.300000000001,31.0
Tampa Bay Buccaneers,21724.999999999996,30.0,16176.000000000005,30.0,18950.5,30.0,3988.7999999999997,29.0,3619.199999999999,30.0,14117.0,30.0,11342.500000000002,30.0,8568.0,30.0
Philadelphia Eagles,21420.459999999995,29.0,15850.46,28.0,18635.46,29.0,3870.3999999999996,19.0,3499.16,23.0,14050.899999999998,28.0,11265.9,28.0,8480.9,27.0
Washington Redskins,21336.8,28.0,15831.8,27.0,18584.3,28.0,3957.3,26.0,3517.0000000000005,25.0,13862.5,24.0,11110.0,24.0,8357.5,23.0
New York Giants,21290.039999999997,27.0,15784.039999999999,25.0,18537.04,26.0,3819.5999999999995,13.0,3545.84,27.0,13924.600000000002,25.0,11171.6,25.0,8418.600000000002,25.0
Indianapolis Colts,21280.460000000003,26.0,15883.459999999997,29.0,18581.960000000003,27.0,3969.0000000000005,28.0,3535.5600000000004,26.0,13775.9,23.0,11077.4,23.0,8378.9,24.0
Denver Broncos,21271.520000000004,25.0,15802.520000000002,26.0,18537.020000000004,25.0,3731.0999999999995,7.0,3596.1200000000003,29.0,13944.299999999997,26.0,11209.8,26.0,8475.300000000001,26.0
New Orleans Saints,21230.36,24.0,15704.360000000004,23.0,18467.36,23.0,3661.6999999999994,4.0,3558.7599999999998,28.0,14009.899999999996,27.0,11246.899999999996,27.0,8483.900000000001,28.0
Houston Texans,21198.46,23.0,15750.459999999997,24.0,18474.46,24.0,4150.4,32.0,3415.1600000000003,14.0,13632.899999999998,18.0,10908.899999999998,16.0,8184.9,16.0
Dallas Cowboys,21197.379999999997,22.0,15622.38,21.0,18409.88,22.0,3639.4999999999995,3.0,3495.68,22.0,14062.2,29.0,11274.7,29.0,8487.2,29.0
Jacksonville Jaguars,21107.899999999998,21.0,15688.899999999998,22.0,18398.399999999998,21.0,3908.100000000001,23.0,3486.7999999999997,21.0,13713.0,21.0,11003.5,22.0,8294.0,22.0
Kansas City Chiefs,21042.28,20.0,15526.280000000002,18.0,18284.28,18.0,3820.8,14.0,3463.2799999999997,17.0,13758.199999999997,22.0,11000.199999999997,21.0,8242.2,20.0
Pittsburgh Steelers,20996.579999999998,19.0,15598.58,19.0,18297.579999999998,19.0,3913.9000000000005,24.0,3464.48,18.0,13618.199999999999,16.0,10919.2,17.0,8220.2,19.0
San Diego Chargers,20994.1,18.0,15614.1,20.0,18304.1,20.0,3920.6,25.0,3476.9999999999995,20.0,13596.5,15.0,10906.499999999998,15.0,8216.5,18.0
Green Bay Packers,20830.019999999997,17.0,15292.02,13.0,18061.019999999997,15.0,3770.1999999999994,10.0,3358.5200000000004,12.0,13701.299999999996,20.0,10932.299999999997,19.0,8163.299999999999,14.0
Cincinnati Bengals,20799.760000000002,16.0,15441.759999999998,17.0,18120.76,17.0,3794.5999999999995,12.0,3469.76,19.0,13535.399999999998,13.0,10856.4,14.0,8177.400000000001,15.0
Oakland Raiders,20785.320000000003,15.0,15351.320000000003,15.0,18068.320000000003,16.0,3687.3,5.0,3457.7200000000003,16.0,13640.299999999997,19.0,10923.3,18.0,8206.300000000001,17.0
Chicago Bears,20709.260000000002,14.0,15265.259999999998,12.0,17987.260000000002,13.0,3903.6999999999994,22.0,3352.16,11.0,13453.399999999998,12.0,10731.4,11.0,8009.400000000001,9.0
Tennessee Titans,20665.800000000003,13.0,15359.8,16.0,18012.800000000003,14.0,3830.2999999999997,15.0,3417.0000000000005,15.0,13418.500000000004,11.0,10765.500000000002,12.0,8112.500000000001,13.0
Baltimore Ravens,20625.48,12.0,15262.480000000001,11.0,17943.98,12.0,3504.5999999999995,1.0,3501.68,24.0,13619.199999999999,17.0,10937.699999999999,20.0,8256.2,21.0
Minnesota Vikings,20575.639999999996,11.0,15101.64,7.0,17838.639999999996,8.0,3701.4999999999995,6.0,3292.0399999999995,8.0,13582.100000000002,14.0,10845.100000000002,13.0,8108.099999999999,12.0
New York Jets,20561.540000000005,10.0,15206.54,9.0,17884.040000000005,10.0,3854.4999999999995,17.0,3317.4400000000005,10.0,13389.6,10.0,10712.099999999999,10.0,8034.599999999999,11.0
Miami Dolphins,20525.04,9.0,15297.039999999999,14.0,17911.04,11.0,4129.3,30.0,3261.64,7.0,13134.100000000002,4.0,10520.1,4.0,7906.099999999999,5.0
Buffalo Bills,20510.56,8.0,15224.560000000001,10.0,17867.559999999998,9.0,3887.2000000000007,21.0,3314.96,9.0,13308.4,8.0,10665.4,9.0,8022.4,10.0
Cleveland Browns,20384.72,7.0,15144.719999999998,8.0,17764.719999999998,7.0,3842.2999999999997,16.0,3362.1200000000003,13.0,13180.3,5.0,10560.3,6.0,7940.3,8.0
San Francisco 49ers,20345.240000000005,6.0,15022.240000000002,6.0,17683.74,6.0,3960.7999999999997,27.0,3175.84,4.0,13208.6,6.0,10547.1,5.0,7885.6,4.0
Detroit Lions,20280.22,5.0,14890.22,4.0,17585.219999999998,5.0,3738.0999999999995,8.0,3228.3199999999997,6.0,13313.8,9.0,10618.799999999997,8.0,7923.8,7.0
New England Patriots,20122.56,4.0,14963.560000000001,5.0,17543.06,4.0,4133.2,31.0,3162.96,3.0,12826.4,1.0,10246.9,1.0,7667.4,1.0
St. Louis Rams,20058.219999999998,3.0,14693.220000000003,2.0,17375.72,2.0,3564.7,2.0,3210.7200000000003,5.0,13282.799999999996,7.0,10600.3,7.0,7917.800000000001,6.0
Seattle Seahawks,20039.799999999996,2.0,14716.800000000003,3.0,17378.300000000003,3.0,3876.1,20.0,3144.2,2.0,13019.499999999996,2.0,10357.999999999998,2.0,7696.500000000001,3.0
Arizona Cardinals,19903.8,1.0,14528.800000000001,1.0,17216.300000000003,1.0,3738.3,9.0,3119.0,1.0,13046.5,3.0,10358.999999999998,3.0,7671.5,2.0
