Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Kurt Warner,QB,ARI,203.0,2.0,0.0,19.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.119999999999997,14.119999999999997,14.119999999999997
Tarvaris Jackson,QB,MIN,77.0,1.0,0.0,8.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.58,7.58,7.58
Brett Favre,QB,MIN,213.0,4.0,0.0,25.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.52,24.52,24.52
Brady Quinn,QB,CLE,304.0,4.0,0.0,33.0,21.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,28.56,28.56,28.56
Drew Brees,QB,NOR,187.0,3.0,0.0,29.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.48,19.48,19.48
Matthew Stafford,QB,DET,422.0,5.0,2.0,43.0,26.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,33.58,33.58,33.58
Eli Manning,QB,NYG,384.0,3.0,1.0,39.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36,25.36,25.36
Philip Rivers,QB,SDG,145.0,1.0,0.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,9.8,9.8
Ben Roethlisberger,QB,PIT,398.0,3.0,2.0,42.0,32.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,24.32,24.32,24.32
Phil Dawson,K,CLE,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4
Aaron Rodgers,QB,GNB,344.0,2.0,0.0,45.0,32.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,23.06,23.06,23.06
Matt Schaub,QB,HOU,305.0,2.0,0.0,39.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,20.2,20.2
Donovan McNabb,QB,PHI,244.0,2.0,1.0,32.0,23.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.259999999999998,16.259999999999998,16.259999999999998
Matt Cassel,QB,KAN,248.0,2.0,0.0,30.0,15.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.82,15.82,15.82
Tom Brady,QB,NWE,310.0,1.0,0.0,41.0,28.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,17.299999999999997,17.299999999999997,17.299999999999997
Alex Smith,QB,SFO,227.0,3.0,1.0,33.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.279999999999998,19.279999999999998,19.279999999999998
Matt Ryan,QB,ATL,268.0,2.0,0.0,46.0,26.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,18.119999999999997,18.119999999999997,18.119999999999997
David Garrard,QB,JAX,215.0,1.0,1.0,30.0,21.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,10.2,10.2,10.2
Chad Henne,QB,MIA,172.0,1.0,0.0,29.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.879999999999999,10.879999999999999,10.879999999999999
Peyton Manning,QB,IND,299.0,1.0,2.0,31.0,22.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.860000000000001,11.860000000000001,11.860000000000001
Vince Young,QB,TEN,116.0,1.0,0.0,22.0,12.0,11.0,73.0,0.0,0.0,0.0,0.0,0.0,1.0,13.940000000000001,13.940000000000001,13.940000000000001
Matt Hasselbeck,QB,SEA,231.0,0.0,1.0,26.0,19.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.640000000000001,7.640000000000001,7.640000000000001
Matt Leinart,QB,ARI,74.0,0.0,0.0,14.0,10.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,2.86,2.86
Charlie Batch,QB,PIT,17.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,0.68
Michael Vick,QB,PHI,0.0,0.0,0.0,1.0,1.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,3.4,3.4
Joe Flacco,QB,BAL,256.0,0.0,1.0,35.0,23.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.040000000000001,8.040000000000001,8.040000000000001
Carson Palmer,QB,CIN,207.0,0.0,1.0,22.0,14.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,16.98,16.98,16.98
Ryan Fitzpatrick,QB,BUF,297.0,1.0,2.0,31.0,18.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.380000000000003,12.380000000000003,12.380000000000003
Jason Campbell,QB,WAS,256.0,0.0,1.0,37.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.24,8.24,8.24
Bruce Gradkowski,QB,OAK,183.0,2.0,1.0,34.0,17.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,12.120000000000001,12.120000000000001,12.120000000000001
Tony Romo,QB,DAL,158.0,1.0,1.0,27.0,15.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72,8.72,8.72
Jay Cutler,QB,CHI,171.0,1.0,1.0,43.0,24.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.94,9.94,9.94
Jake Delhomme,QB,CAR,227.0,1.0,1.0,42.0,19.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,12.78,12.78,12.78
Marc Bulger,QB,STL,215.0,0.0,1.0,37.0,19.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,6.9,6.9
Chris Simms,QB,DEN,10.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.6,-1.6,-1.6
Kyle Orton,QB,DEN,171.0,0.0,1.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84,4.84,4.84
Seneca Wallace,QB,SEA,0.0,0.0,0.0,3.0,0.0,1.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,-0.9,-0.9
