"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",CAR,"RB1","13","2 out of 5 stars","0"
"2",1,"Dalvin Cook",MIN,"RB2","7","3 out of 5 stars","0"
"3",1,"Derrick Henry",TEN,"RB3","13","3 out of 5 stars","0"
"4",1,"Alvin Kamara",NO,"RB4","6","2 out of 5 stars","0"
"5",1,"Ezekiel Elliott",DAL,"RB5","7","2 out of 5 stars","0"
"6",1,"Aaron Jones",GB,"RB6","13","0 out of 5 stars","+2"
"7",1,"Nick Chubb",CLE,"RB7","13","4 out of 5 stars","-1"
"8",2,"Jonathan Taylor",IND,"RB8","14","4 out of 5 stars","+1"
"9",2,"Saquon Barkley",NYG,"RB9","10","2 out of 5 stars","+1"
"10",2,"Tyreek Hill",KC,"WR1","12","3 out of 5 stars","+1"
"11",2,"Davante Adams",GB,"WR2","13","1 out of 5 stars","-4"
"12",2,"Stefon Diggs",BUF,"WR3","7","3 out of 5 stars","+4"
"13",2,"Antonio Gibson",WAS,"RB10","9","3 out of 5 stars","+4"
"14",2,"Calvin Ridley",ATL,"WR4","6","4 out of 5 stars","+7"
"15",2,"Travis Kelce",KC,"TE1","12","3 out of 5 stars","-3"
"16",2,"D.K. Metcalf",SEA,"WR5","9","1 out of 5 stars","+2"
"17",3,"DeAndre Hopkins",ARI,"WR6","12","2 out of 5 stars","+3"
"18",3,"Joe Mixon",CIN,"RB11","10","3 out of 5 stars","+1"
"19",3,"Najee Harris",PIT,"RB12","7","5 out of 5 stars","-4"
"20",3,"Darren Waller",LV,"TE2","8","4 out of 5 stars","+4"
"21",3,"Austin Ekeler",LAC,"RB13","7","4 out of 5 stars","-7"
"22",3,"A.J. Brown",TEN,"WR7","13","3 out of 5 stars","+1"
"23",3,"Justin Jefferson",MIN,"WR8","7","3 out of 5 stars","+2"
"24",3,"Patrick Mahomes II",KC,"QB1","12","4 out of 5 stars","-11"
"25",3,"George Kittle",SF,"TE3","6","4 out of 5 stars","+2"
"26",3,"Clyde Edwards-Helaire",KC,"RB14","12","4 out of 5 stars","-4"
"27",3,"Terry McLaurin",WAS,"WR9","9","3 out of 5 stars","+5"
"28",3,"Chris Carson",SEA,"RB15","9","1 out of 5 stars","+3"
"29",3,"Mike Evans",TB,"WR10","9","2 out of 5 stars","+4"
"30",3,"Allen Robinson II",CHI,"WR11","10","3 out of 5 stars","+9"
"31",3,"CeeDee Lamb",DAL,"WR12","7","1 out of 5 stars","+5"
"32",3,"David Montgomery",CHI,"RB16","10","3 out of 5 stars","-2"
"33",3,"Keenan Allen",LAC,"WR13","7","3 out of 5 stars","-4"
"34",4,"Chris Godwin",TB,"WR14","9","2 out of 5 stars","+7"
"35",4,"Amari Cooper",DAL,"WR15","7","1 out of 5 stars","+9"
"36",4,"Robert Woods",LAR,"WR16","11","5 out of 5 stars","+6"
"37",4,"Julio Jones",TEN,"WR17","13","3 out of 5 stars","+6"
"38",4,"D.J. Moore",CAR,"WR18","13","5 out of 5 stars","+17"
"39",4,"Josh Allen",BUF,"QB2","7","1 out of 5 stars","-11"
"40",4,"James Robinson",JAC,"RB17","7","4 out of 5 stars","-6"
"41",4,"D'Andre Swift",DET,"RB18","9","0 out of 5 stars","-3"
"42",4,"Josh Jacobs",LV,"RB19","8","2 out of 5 stars","-16"
"43",4,"Miles Sanders",PHI,"RB20","14","3 out of 5 stars","-8"
"44",4,"Adam Thielen",MIN,"WR19","7","3 out of 5 stars","+1"
"45",4,"Cooper Kupp",LAR,"WR20","11","5 out of 5 stars","+6"
"46",4,"Tyler Lockett",SEA,"WR21","9","1 out of 5 stars","+8"
"47",4,"Gus Edwards",BAL,"RB21","8","4 out of 5 stars","+23"
"48",4,"Kyler Murray",ARI,"QB3","12","2 out of 5 stars","-11"
"49",4,"Brandon Aiyuk",SF,"WR22","6","5 out of 5 stars","+14"
"50",4,"Mark Andrews",BAL,"TE4","8","4 out of 5 stars","+3"
"51",5,"Tee Higgins",CIN,"WR23","10","2 out of 5 stars","+17"
"52",5,"Diontae Johnson",PIT,"WR24","7","2 out of 5 stars","+8"
"53",5,"Lamar Jackson",BAL,"QB4","8","2 out of 5 stars","-13"
"54",5,"T.J. Hockenson",DET,"TE5","9","4 out of 5 stars","+10"
"55",5,"Darrell Henderson",LAR,"RB22","11","4 out of 5 stars","+3"
"56",5,"Kyle Pitts",ATL,"TE6","6","2 out of 5 stars","-7"
"57",5,"Damien Harris",NE,"RB23","14","3 out of 5 stars","+8"
"58",5,"Chase Claypool",PIT,"WR25","7","2 out of 5 stars","+9"
"59",5,"Mike Davis",ATL,"RB24","6","2 out of 5 stars","-3"
"60",5,"Odell Beckham Jr.",CLE,"WR26","13","1 out of 5 stars","+6"
"61",5,"Dak Prescott",DAL,"QB5","7","2 out of 5 stars","-9"
"62",5,"Kenny Golladay",NYG,"WR27","10","3 out of 5 stars","+12"
"63",5,"Kareem Hunt",CLE,"RB25","13","4 out of 5 stars","-15"
"64",5,"Myles Gaskin",MIA,"RB26","14","4 out of 5 stars","-18"
"65",5,"Jerry Jeudy",DEN,"WR28","11","4 out of 5 stars","+12"
"66",5,"Courtland Sutton",DEN,"WR29","11","4 out of 5 stars","+14"
"67",5,"Russell Wilson",SEA,"QB6","9","0 out of 5 stars","-17"
"68",5,"Ja'Marr Chase",CIN,"WR30","10","2 out of 5 stars","+4"
"69",5,"Aaron Rodgers",GB,"QB7","13","2 out of 5 stars","-22"
"70",5,"Javonte Williams",DEN,"RB27","11","5 out of 5 stars","-8"
"71",5,"Justin Herbert",LAC,"QB8","7","2 out of 5 stars","-12"
"72",5,"Raheem Mostert",SF,"RB28","6","3 out of 5 stars","-15"
"73",5,"Chase Edmonds",ARI,"RB29","12","3 out of 5 stars","-12"
"74",5,"JuJu Smith-Schuster",PIT,"WR31","7","2 out of 5 stars","+2"
"75",6,"Robby Anderson",CAR,"WR32","13","5 out of 5 stars","+9"
"76",6,"Ronald Jones II",TB,"RB30","9","0 out of 5 stars","-1"
"77",6,"Deebo Samuel",SF,"WR33","6","5 out of 5 stars","+10"
"78",6,"Brandin Cooks",HOU,"WR34","10","3 out of 5 stars","+21"
"79",6,"Melvin Gordon III",DEN,"RB31","11","5 out of 5 stars","-10"
"80",6,"Tyler Boyd",CIN,"WR35","10","2 out of 5 stars","+9"
"81",6,"Noah Fant",DEN,"TE7","11","4 out of 5 stars","+14"
"82",6,"Tom Brady",TB,"QB9","9","2 out of 5 stars","-11"
"83",6,"Will Fuller V",MIA,"WR36","14","3 out of 5 stars","+30"
