,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
0,Danny Amendola,WR,HOU,0,0,0,0,0,0,0,0,7,9,113,2,0,23.3,30.3,26.8
1,Cedrick Wilson Jr.,WR,DAL,0,0,0,0,0,0,0,0,5,6,119,2,0,23.9,28.9,26.4
2,Dak Prescott,QB,DAL,295,5,0,27,21,0,0,0,0,0,0,0,0,31.8,31.8,31.8
3,Justin Herbert,QB,LAC,383,3,1,64,34,2,1,0,0,0,0,0,0,25.42,25.42,25.42
4,Russell Gage,WR,ATL,0,0,0,0,0,0,0,0,9,13,126,1,0,18.6,27.6,23.1
5,Davis Mills,QB,HOU,301,3,0,33,23,4,12,0,0,0,0,0,0,25.24,25.24,25.24
6,Mike Williams,WR,LAC,0,0,0,0,0,0,0,0,9,17,119,1,0,17.9,26.9,22.4
7,Cooper Kupp,WR,LAR,0,0,0,0,0,1,18,0,7,7,118,1,0,19.6,26.6,23.1
8,Amon-Ra St. Brown,WR,DET,0,0,0,0,0,1,12,0,8,10,109,1,0,18.1,26.1,22.1
9,Deebo Samuel,WR,SFO,24,1,0,1,1,8,45,1,4,6,95,0,0,24.96,28.96,26.96
10,Austin Ekeler,RB,LAC,0,0,0,0,0,16,64,1,5,12,35,1,0,21.9,26.9,24.4
11,Tom Brady,QB,TAM,326,3,0,37,29,0,0,0,0,0,0,0,0,25.04,25.04,25.04
12,Rashaad Penny,RB,SEA,0,0,0,0,0,23,190,1,0,0,0,0,0,25.0,25.0,25.0
13,Darnell Mooney,WR,CHI,0,0,0,0,0,0,0,0,12,16,126,0,0,12.600000000000001,24.6,18.6
14,Jauan Jennings,WR,SFO,0,0,0,0,0,0,0,0,6,7,94,2,0,21.4,27.4,24.4
15,James Conner,RB,ARI,0,0,0,0,0,15,52,1,6,6,41,1,0,21.3,27.3,24.3
16,Ryan Tannehill,QB,TEN,287,4,0,32,23,2,-2,0,0,0,0,0,0,27.28,27.28,27.28
17,Tyler Lockett,WR,SEA,0,0,0,0,0,1,2,0,5,5,98,2,0,22.0,27.0,24.5
18,Mike Evans,WR,TAM,0,0,0,0,0,0,0,0,6,7,89,2,0,20.9,26.9,23.9
19,Patrick Mahomes,QB,KAN,270,2,0,44,27,9,54,0,0,0,0,0,0,24.200000000000003,24.200000000000003,24.200000000000003
20,Russell Wilson,QB,SEA,238,3,1,26,15,4,5,1,0,0,0,0,1,24.02,24.02,24.02
21,Josh Jacobs,RB,LVR,0,0,0,0,0,26,132,1,2,2,12,0,0,20.400000000000002,22.400000000000002,21.400000000000002
22,Devin Singletary,RB,BUF,0,0,0,0,0,19,88,1,2,2,24,1,0,23.200000000000003,25.200000000000003,24.200000000000003
23,Antonio Gibson,RB,WAS,0,0,0,0,0,21,146,1,1,3,5,0,0,21.1,22.1,21.6
24,Justin Jefferson,WR,MIN,0,0,0,0,0,1,4,0,5,7,107,1,0,17.1,22.1,19.6
25,Allen Lazard,WR,GNB,0,0,0,0,0,0,0,0,5,6,75,2,0,19.5,24.5,22.0
26,Kalif Raymond,WR,DET,0,0,0,0,0,1,13,0,4,5,101,1,0,17.400000000000002,21.400000000000002,19.400000000000002
27,Latavius Murray,RB,BAL,0,0,0,0,0,16,150,1,0,0,0,0,0,21.0,21.0,21.0
28,Josh Allen,QB,BUF,239,2,0,45,24,5,63,0,0,0,0,0,0,23.860000000000003,23.860000000000003,23.860000000000003
29,Rob Gronkowski,TE,TAM,0,0,0,0,0,0,0,0,7,10,137,0,0,13.700000000000001,20.700000000000003,17.200000000000003
30,Tyler Higbee,TE,LAR,0,0,0,0,0,0,0,0,6,8,55,2,0,17.5,23.5,20.5
31,D'Ernest Johnson,RB,CLE,0,0,0,0,0,25,123,1,1,1,10,0,0,19.3,20.3,19.8
32,Stefon Diggs,WR,BUF,0,0,0,0,0,0,0,0,9,14,81,1,0,14.1,23.1,18.6
33,Mecole Hardman,WR,KAN,0,0,0,0,0,1,10,0,8,11,103,0,0,11.3,19.3,15.3
34,Ihmir Smith-Marsette,WR,MIN,0,0,0,0,0,0,0,0,3,3,103,1,0,16.3,19.3,17.8
35,Duke Johnson,RB,MIA,0,0,0,0,0,25,117,1,1,1,5,0,0,18.200000000000003,19.200000000000003,18.700000000000003
36,Drew Lock,QB,DEN,162,0,0,24,12,4,35,2,0,0,0,0,0,21.98,21.98,21.98
37,Kirk Cousins,QB,MIN,250,3,0,22,14,1,-1,0,0,0,0,0,0,21.9,21.9,21.9
38,Marvin Jones,WR,JAX,0,0,0,0,0,0,0,0,7,8,88,1,0,14.8,21.8,18.3
39,Alvin Kamara,RB,NOR,0,0,0,0,0,30,146,0,2,2,16,0,0,16.200000000000003,18.200000000000003,17.200000000000003
40,Andy Dalton,QB,CHI,325,1,2,48,33,1,7,0,0,0,0,0,0,13.7,13.7,13.7
41,Brandon Bolden,RB,NWE,0,0,0,0,0,7,46,1,2,2,20,1,0,18.6,20.6,19.6
42,Melvin Gordon,RB,DEN,0,0,0,0,0,12,110,1,1,2,6,0,1,15.600000000000001,16.6,16.1
43,Michael Pittman Jr.,WR,IND,0,0,0,0,0,0,0,0,6,7,64,1,0,12.4,18.4,15.4
44,Brandon Aiyuk,WR,SFO,0,0,0,0,0,0,0,0,6,7,107,0,0,10.700000000000001,16.700000000000003,13.700000000000001
45,Jarvis Landry,WR,CLE,0,0,0,0,0,0,0,0,6,8,75,1,0,13.5,19.5,16.5
46,Matthew Stafford,QB,LAR,238,3,2,32,21,0,0,0,0,0,0,0,0,17.52,17.52,17.52
47,Quez Watkins,WR,PHI,0,0,0,0,0,0,0,0,5,7,84,1,0,14.4,19.4,16.9
48,Kenneth Gainwell,RB,PHI,0,0,0,0,0,12,78,1,4,7,9,0,0,14.700000000000001,18.700000000000003,16.700000000000003
49,Trevor Lawrence,QB,JAX,223,2,0,32,23,10,17,0,0,0,0,0,0,18.62,18.62,18.62
50,Tre'Quan Smith,WR,NOR,0,0,0,0,0,0,0,0,5,7,76,1,0,13.600000000000001,18.6,16.1
51,Robby Anderson,WR,CAR,0,0,0,0,0,0,0,0,7,9,50,1,0,11.0,18.0,14.5
52,Chase Claypool,WR,PIT,0,0,0,0,0,3,33,0,5,7,37,1,0,13.0,18.0,15.5
53,Corey Clement,RB,DAL,0,0,0,0,0,7,58,0,4,4,22,1,0,14.0,18.0,16.0
54,Nick Westbrook-Ikhine,WR,TEN,0,0,0,0,0,0,0,0,4,5,78,1,0,13.8,17.8,15.8
55,Jimmy Garoppolo,QB,SFO,316,1,2,32,23,1,1,0,0,0,0,0,0,12.74,12.74,12.74
56,Jared Goff,QB,DET,238,2,0,30,21,0,0,0,0,0,0,0,0,17.52,17.52,17.52
57,Damien Harris,RB,NWE,0,0,0,0,0,11,37,1,4,4,36,0,0,13.299999999999999,17.299999999999997,15.299999999999999
58,Ameer Abdullah,RB,CAR,0,0,0,0,0,7,26,0,9,11,56,0,0,8.200000000000001,17.200000000000003,12.700000000000001
