Unnamed: 0,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
0,Arian Foster,HOU,RB,24.0,16.0,13.0,84.0,66.0,0.0,0.0,0.0,1616.0,16.0,327.0,604.0,2.0,392.0,0.0,3.0,2.0
1,Peyton Hillis,CLE,RB,24.0,16.0,14.0,77.0,61.0,13.0,0.0,2.0,1177.0,11.0,270.0,477.0,2.0,294.92,0.0,8.0,5.0
2,Adrian Peterson,MIN,RB,25.0,15.0,15.0,50.0,36.0,0.0,0.0,0.0,1298.0,12.0,283.0,341.0,1.0,275.9,0.0,1.0,1.0
3,Jamaal Charles,KAN,RB,24.0,16.0,6.0,64.0,45.0,0.0,0.0,0.0,1467.0,5.0,230.0,468.0,3.0,282.5,0.0,3.0,2.0
4,Chris Johnson,TEN,RB,25.0,16.0,16.0,57.0,44.0,0.0,0.0,0.0,1364.0,11.0,316.0,245.0,1.0,272.9,0.0,3.0,2.0
5,Brandon Lloyd,DEN,WR,29.0,16.0,11.0,153.0,77.0,0.0,0.0,0.0,-18.0,0.0,1.0,1448.0,11.0,286.0,0.0,0.0,0.0
6,Dwayne Bowe,KAN,WR,26.0,16.0,16.0,133.0,72.0,0.0,0.0,0.0,4.0,0.0,1.0,1162.0,15.0,278.6,0.0,1.0,0.0
7,Darren McFadden,OAK,RB,23.0,13.0,13.0,61.0,47.0,0.0,0.0,1.0,1157.0,7.0,223.0,507.0,3.0,267.4,0.0,4.0,3.0
8,Roddy White,ATL,WR,29.0,16.0,16.0,179.0,115.0,0.0,0.0,0.0,3.0,0.0,1.0,1389.0,10.0,312.2,0.0,1.0,1.0
9,Michael Vick,PHI,QB,30.0,12.0,12.0,0.0,0.0,3018.0,21.0,372.0,676.0,9.0,100.0,0.0,0.0,308.32,6.0,11.0,3.0
10,Rashard Mendenhall,PIT,RB,23.0,16.0,16.0,34.0,23.0,0.0,0.0,0.0,1273.0,13.0,324.0,167.0,0.0,241.0,0.0,2.0,2.0
11,LeSean McCoy,PHI,RB,22.0,15.0,13.0,91.0,78.0,0.0,0.0,0.0,1080.0,7.0,207.0,592.0,2.0,297.2,0.0,2.0,1.0
12,Greg Jennings,GNB,WR,27.0,16.0,16.0,125.0,76.0,0.0,0.0,0.0,-1.0,0.0,1.0,1265.0,12.0,274.4,0.0,2.0,0.0
13,Matt Forte,CHI,RB,25.0,16.0,16.0,70.0,51.0,0.0,0.0,0.0,1069.0,6.0,237.0,547.0,3.0,262.6,0.0,3.0,2.0
14,Michael Turner,ATL,RB,28.0,16.0,15.0,20.0,12.0,0.0,0.0,0.0,1371.0,12.0,334.0,85.0,0.0,225.6,0.0,2.0,2.0
15,Ray Rice,BAL,RB,23.0,16.0,14.0,83.0,63.0,0.0,0.0,0.0,1220.0,5.0,307.0,556.0,1.0,276.6,0.0,0.0,0.0
16,Aaron Rodgers,GNB,QB,27.0,15.0,15.0,0.0,0.0,3922.0,28.0,475.0,356.0,4.0,64.0,0.0,0.0,304.48,11.0,4.0,1.0
17,Mike Wallace,PIT,WR,24.0,16.0,16.0,98.0,60.0,0.0,0.0,0.0,39.0,0.0,5.0,1257.0,10.0,249.6,0.0,1.0,0.0
18,Calvin Johnson,DET,WR,25.0,15.0,15.0,137.0,77.0,0.0,0.0,0.0,32.0,0.0,4.0,1120.0,12.0,264.2,0.0,1.0,0.0
19,Tom Brady,NWE,QB,33.0,16.0,16.0,0.0,0.0,3900.0,36.0,492.0,30.0,1.0,31.0,0.0,0.0,299.0,4.0,3.0,1.0
20,Ahmad Bradshaw,NYG,RB,24.0,16.0,11.0,58.0,47.0,0.0,0.0,0.0,1235.0,8.0,276.0,314.0,0.0,237.9,0.0,7.0,6.0
21,Maurice Jones-Drew,JAX,RB,25.0,14.0,14.0,44.0,34.0,0.0,0.0,1.0,1324.0,5.0,299.0,317.0,2.0,234.1,1.0,2.0,2.0
22,Steven Jackson,STL,RB,27.0,16.0,16.0,62.0,46.0,0.0,0.0,0.0,1241.0,6.0,330.0,383.0,0.0,242.4,0.0,1.0,1.0
23,Jason Witten,DAL,TE,28.0,16.0,16.0,128.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.0,9.0,246.2,0.0,1.0,1.0
24,Philip Rivers,SDG,QB,29.0,16.0,16.0,0.0,0.0,4710.0,30.0,541.0,52.0,0.0,29.0,0.0,0.0,279.6,13.0,7.0,4.0
25,Peyton Manning,IND,QB,34.0,16.0,16.0,0.0,0.0,4700.0,33.0,679.0,18.0,0.0,18.0,0.0,0.0,285.8,17.0,3.0,1.0
26,Reggie Wayne,IND,WR,32.0,16.0,16.0,175.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,1355.0,6.0,280.5,0.0,1.0,1.0
27,Hakeem Nicks,NYG,WR,22.0,13.0,12.0,128.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.0,11.0,250.2,0.0,1.0,0.0
28,Andre Johnson,HOU,WR,29.0,13.0,13.0,138.0,86.0,0.0,0.0,0.0,10.0,0.0,2.0,1216.0,8.0,256.6,0.0,1.0,0.0
29,Steve Johnson,BUF,WR,24.0,16.0,13.0,141.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.0,10.0,247.3,0.0,1.0,1.0
30,BenJarvus Green-Ellis,NWE,RB,25.0,16.0,11.0,16.0,12.0,0.0,0.0,0.0,1008.0,13.0,229.0,85.0,0.0,199.3,0.0,0.0,0.0
31,Mike Williams,TAM,WR,23.0,16.0,16.0,129.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,964.0,11.0,223.4,0.0,3.0,2.0
32,Miles Austin,DAL,WR,26.0,16.0,16.0,119.0,69.0,0.0,0.0,0.0,93.0,1.0,7.0,1041.0,7.0,228.4,0.0,1.0,1.0
33,Jeremy Maclin,PHI,WR,22.0,16.0,16.0,115.0,70.0,0.0,0.0,0.0,36.0,0.0,3.0,964.0,10.0,228.0,0.0,1.0,1.0
34,Drew Brees,NOR,QB,31.0,16.0,16.0,1.0,1.0,4620.0,33.0,658.0,-3.0,0.0,18.0,7.0,0.0,270.2,22.0,9.0,2.0
35,Antonio Gates,SDG,TE,30.0,10.0,10.0,65.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,782.0,10.0,188.2,0.0,0.0,0.0
36,Cedric Benson,CIN,RB,28.0,16.0,16.0,37.0,28.0,0.0,0.0,0.0,1111.0,7.0,321.0,178.0,1.0,194.9,0.0,7.0,5.0
37,DeSean Jackson,PHI,WR,24.0,14.0,14.0,95.0,47.0,0.0,0.0,0.0,104.0,1.0,16.0,1056.0,6.0,203.0,0.0,4.0,1.0
38,Vernon Davis,SFO,TE,26.0,16.0,16.0,93.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,914.0,7.0,189.4,0.0,0.0,0.0
