,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
0,Jonathan Taylor*+,IND,RB,22,17,17,51.0,40.0,0.0,0.0,0.0,1811.0,18.0,332.0,360.0,2.0,333.0,0.0,4.0,2.0
1,Cooper Kupp*+,LAR,WR,28,17,17,191.0,145.0,0.0,0.0,1.0,18.0,0.0,4.0,1947.0,16.0,295.0,0.0,0.0,0.0
2,Deebo Samuel*+,SFO,WR,25,16,15,121.0,77.0,24.0,1.0,2.0,365.0,8.0,59.0,1405.0,6.0,262.0,0.0,4.0,2.0
3,Josh Allen,BUF,QB,25,17,17,0.0,0.0,4407.0,36.0,646.0,763.0,6.0,122.0,0.0,0.0,403.0,15.0,8.0,3.0
4,Austin Ekeler,LAC,RB,26,16,16,94.0,70.0,0.0,0.0,0.0,911.0,12.0,206.0,647.0,8.0,274.0,0.0,4.0,3.0
5,Justin Herbert*,LAC,QB,23,17,17,0.0,0.0,5014.0,38.0,672.0,302.0,3.0,63.0,0.0,0.0,381.0,15.0,1.0,1.0
6,Tom Brady*,TAM,QB,44,17,17,0.0,0.0,5316.0,43.0,719.0,81.0,2.0,28.0,0.0,0.0,375.0,12.0,4.0,3.0
7,Mark Andrews*+,BAL,TE,26,17,9,153.0,107.0,0.0,0.0,0.0,0.0,0.0,1.0,1361.0,9.0,194.0,0.0,1.0,0.0
8,Ja'Marr Chase*,CIN,WR,21,17,17,128.0,81.0,0.0,0.0,0.0,21.0,0.0,7.0,1455.0,13.0,224.0,0.0,2.0,1.0
9,Justin Jefferson*,MIN,WR,22,17,17,167.0,108.0,35.0,0.0,4.0,14.0,0.0,6.0,1616.0,10.0,222.0,0.0,1.0,1.0
10,Joe Mixon*,CIN,RB,25,16,16,48.0,42.0,0.0,0.0,0.0,1205.0,13.0,292.0,314.0,3.0,246.0,0.0,2.0,1.0
11,Davante Adams*+,GNB,WR,29,16,16,169.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,1553.0,11.0,221.0,0.0,0.0,0.0
12,Patrick Mahomes*,KAN,QB,26,17,17,0.0,0.0,4839.0,37.0,658.0,381.0,2.0,66.0,0.0,0.0,362.0,13.0,9.0,4.0
13,Najee Harris*,PIT,RB,23,17,17,94.0,74.0,0.0,0.0,0.0,1200.0,7.0,307.0,467.0,3.0,227.0,0.0,0.0,0.0
14,Travis Kelce*,KAN,TE,32,16,16,134.0,92.0,0.0,0.0,0.0,3.0,1.0,2.0,1125.0,9.0,171.0,0.0,1.0,1.0
15,James Conner*,ARI,RB,26,15,6,39.0,37.0,0.0,0.0,0.0,752.0,15.0,202.0,375.0,3.0,221.0,0.0,2.0,0.0
16,Mike Evans*,TAM,WR,28,16,16,114.0,74.0,0.0,0.0,0.0,10.0,0.0,1.0,1035.0,14.0,189.0,0.0,0.0,0.0
17,Aaron Rodgers*+,GNB,QB,38,16,16,1.0,1.0,4115.0,37.0,531.0,101.0,3.0,33.0,-4.0,0.0,332.0,4.0,3.0,0.0
18,Tyreek Hill*,KAN,WR,27,17,16,159.0,111.0,0.0,0.0,0.0,96.0,0.0,9.0,1239.0,9.0,186.0,0.0,2.0,1.0
19,Matthew Stafford,LAR,QB,33,17,17,0.0,0.0,4886.0,41.0,601.0,43.0,0.0,32.0,0.0,0.0,330.0,17.0,5.0,2.0
20,Stefon Diggs*,BUF,WR,28,17,17,164.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.0,10.0,183.0,0.0,1.0,0.0
21,Ezekiel Elliott,DAL,RB,26,17,17,65.0,47.0,4.0,0.0,1.0,1002.0,10.0,237.0,287.0,2.0,205.0,0.0,1.0,1.0
22,Dak Prescott,DAL,QB,28,16,16,0.0,0.0,4449.0,37.0,596.0,146.0,1.0,48.0,0.0,0.0,321.0,10.0,14.0,6.0
23,Nick Chubb*,CLE,RB,26,14,14,25.0,20.0,0.0,0.0,0.0,1259.0,8.0,228.0,174.0,1.0,195.0,0.0,2.0,1.0
24,Mike Williams,LAC,WR,27,16,14,129.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.0,9.0,171.0,0.0,0.0,0.0
25,D.K. Metcalf,SEA,WR,24,17,17,129.0,75.0,0.0,0.0,0.0,6.0,0.0,1.0,967.0,12.0,169.0,0.0,1.0,0.0
26,Tyler Lockett,SEA,WR,29,16,16,107.0,73.0,0.0,0.0,0.0,9.0,0.0,2.0,1175.0,8.0,168.0,0.0,0.0,0.0
27,Damien Harris,NWE,RB,24,15,15,21.0,18.0,0.0,0.0,0.0,929.0,15.0,202.0,132.0,0.0,192.0,0.0,2.0,2.0
28,Joe Burrow,CIN,QB,25,16,16,0.0,0.0,4611.0,34.0,520.0,118.0,2.0,40.0,0.0,0.0,314.0,14.0,5.0,2.0
29,Diontae Johnson*,PIT,WR,25,16,14,169.0,107.0,0.0,0.0,0.0,53.0,0.0,5.0,1161.0,8.0,167.0,0.0,2.0,2.0
30,Jalen Hurts,PHI,QB,23,15,15,1.0,0.0,3144.0,16.0,432.0,784.0,10.0,139.0,0.0,0.0,312.0,9.0,9.0,2.0
31,Alvin Kamara*,NOR,RB,26,13,10,67.0,47.0,0.0,0.0,0.0,898.0,4.0,240.0,439.0,5.0,188.0,0.0,0.0,0.0
32,Antonio Gibson,WAS,RB,23,16,14,52.0,42.0,0.0,0.0,0.0,1037.0,7.0,258.0,294.0,3.0,187.0,0.0,6.0,4.0
33,Leonard Fournette,TAM,RB,26,14,13,84.0,69.0,0.0,0.0,1.0,812.0,8.0,180.0,454.0,2.0,187.0,0.0,1.0,0.0
34,Dalton Schultz,DAL,TE,25,17,15,104.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,808.0,8.0,131.0,0.0,0.0,0.0
35,Cordarrelle Patterson,ATL,RB,30,16,13,69.0,52.0,0.0,0.0,1.0,618.0,6.0,153.0,548.0,5.0,183.0,0.0,2.0,0.0
36,George Kittle*,SFO,TE,28,14,14,94.0,71.0,0.0,0.0,0.0,20.0,0.0,3.0,910.0,6.0,127.0,0.0,2.0,1.0
37,Hunter Renfrow*,LVR,WR,26,17,9,128.0,103.0,0.0,0.0,0.0,3.0,0.0,3.0,1038.0,9.0,156.0,0.0,5.0,1.0
38,CeeDee Lamb*,DAL,WR,22,16,13,120.0,79.0,0.0,0.0,0.0,76.0,0.0,9.0,1102.0,6.0,154.0,0.0,0.0,0.0
39,Kyler Murray*,ARI,QB,24,14,14,0.0,0.0,3787.0,24.0,481.0,423.0,5.0,88.0,7.0,0.0,300.0,10.0,13.0,0.0
40,Kirk Cousins*,MIN,QB,33,16,16,0.0,0.0,4221.0,33.0,561.0,115.0,1.0,29.0,0.0,0.0,300.0,7.0,12.0,2.0
41,Aaron Jones,GNB,RB,27,15,15,65.0,52.0,0.0,0.0,0.0,799.0,4.0,171.0,391.0,6.0,177.0,0.0,2.0,1.0
42,Keenan Allen*,LAC,WR,29,16,16,157.0,106.0,0.0,0.0,1.0,0.0,0.0,0.0,1138.0,6.0,152.0,0.0,1.0,0.0
43,Derrick Henry,TEN,RB,27,8,8,20.0,18.0,5.0,1.0,1.0,937.0,10.0,219.0,154.0,0.0,175.0,0.0,1.0,0.0
44,Michael Pittman Jr.,IND,WR,24,17,17,129.0,88.0,0.0,0.0,0.0,44.0,0.0,5.0,1082.0,6.0,151.0,0.0,1.0,0.0
45,Dalvin Cook*,MIN,RB,26,13,13,49.0,34.0,0.0,0.0,0.0,1159.0,6.0,249.0,224.0,0.0,172.0,0.0,3.0,2.0
